year,author,journal,species,river ,run,exp_setup,fish_size_mm,n,dis_to_cover_m,cumulative_fraction
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,0.071,0.186
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,0.229,0.342
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,0.378,0.512
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,0.532,0.643
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,0.682,0.702
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,0.836,0.742
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,0.989,0.786
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,1.151,0.833
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,1.297,0.858
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,1.443,0.873
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,1.604,0.886
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,1.754,0.899
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,1.904,0.901
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,2.062,0.922
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,2.215,0.924
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,2.365,0.93
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,2.519,0.932
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,2.677,0.934
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,2.826,0.939
2010,Goodman,USFWS,Chinook,Trinity,?,Field,< 50,267,2.984,0.941
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,0.075,0.168
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,0.235,0.337
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,0.381,0.454
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,0.536,0.528
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,0.692,0.653
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,0.843,0.724
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,0.993,0.781
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,1.149,0.855
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,1.304,0.895
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,1.445,0.903
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,1.605,0.916
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,1.756,0.921
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,1.916,0.921
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,2.062,0.949
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,2.217,0.957
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,2.373,0.962
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,2.523,0.967
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,2.679,0.967
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,2.82,0.967
2010,Goodman,USFWS,Chinook,Trinity,?,Field,50-200,126,2.98,0.967
