year,author,jounral,river,number_per_m3 ,dryBiomass_g_per_m3
2005,Merz,Riv. Re. and Apps,merced,97902.098,113.043
2005,Merz,Riv. Re. and Apps,merced,117482.517,195.652
2005,Merz,Riv. Re. and Apps,merced,360839.161,304.348
2005,Merz,Riv. Re. and Apps,merced,206993.007,373.913
2005,Merz,Riv. Re. and Apps,merced,282517.483,582.609
2005,Merz,Riv. Re. and Apps,merced,377622.378,682.609
2005,Merz,Riv. Re. and Apps,merced,363636.364,652.174
2005,Merz,Riv. Re. and Apps,merced,377622.378,539.13
2005,Merz,Riv. Re. and Apps,merced,436363.636,139.13
2005,Merz,Riv. Re. and Apps,merced,427972.028,260.87
2005,Merz,Riv. Re. and Apps,merced,330069.93,347.826
2005,Merz,Riv. Re. and Apps,merced,218181.818,282.609
2005,Merz,Riv. Re. and Apps,merced,355244.755,413.043
2005,Merz,Riv. Re. and Apps,merced,229370.629,243.478
2005,Merz,Riv. Re. and Apps,merced,302097.902,278.261
2005,Merz,Riv. Re. and Apps,merced,234965.035,213.043
2005,Merz,Riv. Re. and Apps,merced,145454.545,395.652
2005,Merz,Riv. Re. and Apps,merced,123076.923,247.826
2005,Merz,Riv. Re. and Apps,merced,134265.734,265.217
2005,Merz,Riv. Re. and Apps,merced,243356.643,69.565
2005,Merz,Riv. Re. and Apps,merced,380419.58,69.565
2005,Merz,Riv. Re. and Apps,merced,243356.643,30.435
2005,Merz,Riv. Re. and Apps,merced,173426.573,186.957
2010,Albertson,Rest. Ecology.,merced,2065.236445,1.352561227
2010,Albertson,Rest. Ecology.,merced,2612.335689,0.907556006
2010,Albertson,Rest. Ecology.,merced,2416.317582,1.069295478
2010,Albertson,Rest. Ecology.,merced,1699.348124,0.826132588
2010,Albertson,Rest. Ecology.,merced,2026.367378,1.650370817
2010,Albertson,Rest. Ecology.,merced,1305.054394,1.650370817
2010,Albertson,Rest. Ecology.,merced,4217.509218,2.062667401
2010,Albertson,Rest. Ecology.,merced,3053.366404,4.075526741
2010,Albertson,Rest. Ecology.,merced,2966.090397,1.877610579
2010,Albertson,Rest. Ecology.,merced,2300.772005,1.53879555
2010,Albertson,Rest. Ecology.,merced,4651.755713,4.972884231
2010,Albertson,Rest. Ecology.,merced,2716.229542,2.375006086
2010,Albertson,Rest. Ecology.,merced,3304.366319,2.640583723
2010,Albertson,Rest. Ecology.,merced,4056.192481,4.371035773
2010,Albertson,Rest. Ecology.,merced,3238.935482,5.09367717
2010,Albertson,Rest. Ecology.,merced,2006.204686,1.967964973
2010,Albertson,Rest. Ecology.,merced,3115.048497,2.669790487
2010,Albertson,Rest. Ecology.,merced,2323.895148,3.70988174
2010,Albertson,Rest. Ecology.,merced,2852.639543,2.265963376
2010,Albertson,Rest. Ecology.,merced,3901.045995,2.577964154
2010,Albertson,Rest. Ecology.,merced,2966.090397,2.459603111
2010,Albertson,Rest. Ecology.,merced,5079.661985,7.156349467
2010,Albertson,Rest. Ecology.,merced,2852.639543,2.900838984
2010,Albertson,Rest. Ecology.,merced,3536.879075,15.14999194
