No,Fish,Length,Depart,DLocation,DLocationGen,Arrive,ALocation,ALocationGen,Dist_km,DeltaTime,DeltaTimeMin,Distperhour,Distperday,Activity,,1,Dist_referenceA,Dist_referenceB,Helper1,Helper2,Dist.KM,
1,9,40,3/5/2013 6:12,FishermansCut,FishermansCut,3/5/2013 7:28,Santa_Clara_Shoals2_south,SJ_Santa_Clara_Shoals,1.75,1:16,76,1.38,33.16,Delta,,2,FishermansCut,Santa_Clara_Shoals2_south,FishermansCut Santa_Clara_Shoals2_south,Santa_Clara_Shoals2_south FishermansCut,1.75,
2,9,40,3/10/2013 0:23,ThreeMile_SJbrnW,ThreeMileSouth,3/11/2013 2:54,Santa_Clara_Shoals1_N,SJ_Santa_Clara_Shoals,5.10,2:31,1591,0.19,4.62,Delta,,3,Santa_Clara_Shoals1_N,ThreeMile_SJbrnW,Santa_Clara_Shoals1_N ThreeMile_SJbrnW,ThreeMile_SJbrnW Santa_Clara_Shoals1_N,5.1,
3,9,40,6/1/2013 11:04,SJ_BlwFalse2,SJ_Blw_False,6/1/2013 17:49,FranksTractW,FranksTractW,2.56,6:45,405,0.38,9.10,Delta,,4,Santa_Clara_Shoals2_south,Quimby_E_Point,Santa_Clara_Shoals2_south Quimby_E_Point,Quimby_E_Point Santa_Clara_Shoals2_south,skipped a station,
4,9,40,6/1/2013 17:49,FranksTractW,FranksTractW,6/1/2013 18:58,SJ_BlwFalse2,SJ_Blw_False,2.56,1:09,69,2.23,53.43,Delta,,5,SJ_BlwFalse2,FranksTractW,SJ_BlwFalse2 FranksTractW,FranksTractW SJ_BlwFalse2,2.56,
5,9,40,6/3/2013 22:09,SJ_BlwFalse2,SJ_Blw_False,6/4/2013 18:48,AntiochBridge13,Antioch_Br,5.98,20:39,1239,0.29,6.95,Delta,,6,SJ_BlwFalse2,AntiochBridge13,SJ_BlwFalse2 AntiochBridge13,AntiochBridge13 SJ_BlwFalse2,5.98,
6,9,40,6/10/2013 16:45,AntiochBridge09,Antioch_Br,6/11/2013 4:22,SJ_BlwFalse2,SJ_Blw_False,6.12,11:37,697,0.53,12.64,Delta,,7,SJ_BlwFalse2,AntiochBridge09,SJ_BlwFalse2 AntiochBridge09,AntiochBridge09 SJ_BlwFalse2,6.12,
7,9,40,6/12/2013 15:33,SJ_BlwFalse2,SJ_Blw_False,6/12/2013 20:02,Santa_Clara_Shoals2_south,SJ_Santa_Clara_Shoals,7.12,4:29,269,1.59,38.11,Delta,,8,SJ_BlwFalse2,Santa_Clara_Shoals2_south,SJ_BlwFalse2 Santa_Clara_Shoals2_south,Santa_Clara_Shoals2_south SJ_BlwFalse2,7.12,
8,9,40,6/12/2013 22:03,Santa_Clara_Shoals2_south,SJ_Santa_Clara_Shoals,6/13/2013 9:12,ThreeMile_SJbrnW,ThreeMileSouth,4.52,11:09,669,0.41,9.73,Delta,,9,Santa_Clara_Shoals2_south,ThreeMile_SJbrnW,Santa_Clara_Shoals2_south ThreeMile_SJbrnW,ThreeMile_SJbrnW Santa_Clara_Shoals2_south,4.52,
9,9,40,6/13/2013 9:20,ThreeMile_SJbrnW,ThreeMileSouth,6/13/2013 10:31,ThreeMile_SacBrnSE,ThreeMileNorth,3.40,1:11,71,2.87,68.96,Delta,,10,ThreeMile_SJbrnW,ThreeMile_SacBrnSE,ThreeMile_SJbrnW ThreeMile_SacBrnSE,ThreeMile_SacBrnSE ThreeMile_SJbrnW,3.4,
10,9,40,6/13/2013 10:39,ThreeMile_SacBrnSE,ThreeMileNorth,6/13/2013 13:50,Decker_IsCR2,Decker_IsS,6.69,3:11,191,2.10,50.44,Delta,,11,ThreeMile_SacBrnSE,Decker_IsCR2,ThreeMile_SacBrnSE Decker_IsCR2,Decker_IsCR2 ThreeMile_SacBrnSE,6.69,
11,9,40,6/28/2013 10:42,Decker_IsCL3,Decker_IsS,6/30/2013 17:19,AntiochBridge19,Antioch_Br,9.44,6:37,3277,0.17,4.15,Delta,,12,Decker_IsCL3,AntiochBridge19,Decker_IsCL3 AntiochBridge19,AntiochBridge19 Decker_IsCL3,9.44,
12,9,40,6/30/2013 17:37,AntiochBridge17,Antioch_Br,6/30/2013 19:36,SJ_BlwFalse_SE,SJ_Blw_False,5.87,1:59,119,2.96,71.03,Delta,,13,AntiochBridge17,SJ_BlwFalse_SE,AntiochBridge17 SJ_BlwFalse_SE,SJ_BlwFalse_SE AntiochBridge17,5.87,
13,9,40,6/30/2013 19:42,SJ_BlwFalse2,SJ_Blw_False,6/30/2013 20:27,FranksTractW,FranksTractW,2.56,0:45,45,3.41,81.92,Delta,,14,Quimby_E_Point,OR_DiscovBayN2,Quimby_E_Point OR_DiscovBayN2,OR_DiscovBayN2 Quimby_E_Point,9.62,
14,9,40,7/2/2013 20:08,Quimby_E_Point,Quimby,7/3/2013 5:21,OR_DiscovBayN2,OldRiver_N,9.62,9:13,553,1.04,25.05,Delta,,15,FranksTractE,SJ_PrisonersPointN,FranksTractE SJ_PrisonersPointN,SJ_PrisonersPointN FranksTractE,2.92,
15,9,40,7/10/2013 0:57,FranksTractE,FranksTractE,7/10/2013 6:17,SJ_PrisonersPointN,SJ_PrisonersPt,2.92,5:20,320,0.55,13.14,Delta,,16,SJ_PrisonersPointN,Santa_Clara_Shoals2_south,SJ_PrisonersPointN Santa_Clara_Shoals2_south,Santa_Clara_Shoals2_south SJ_PrisonersPointN,11.68,
16,9,40,7/10/2013 7:13,SJ_PrisonersPointN,SJ_PrisonersPt,7/10/2013 23:39,Santa_Clara_Shoals2_south,SJ_Santa_Clara_Shoals,11.68,16:26,986,0.71,17.06,Delta,,17,SJ_PrisonersPointN,SJ_MedfordChannel,SJ_PrisonersPointN SJ_MedfordChannel,SJ_MedfordChannel SJ_PrisonersPointN,5.21,
17,9,40,7/13/2013 15:58,SJ_PrisonersPointN,SJ_PrisonersPt,7/13/2013 23:54,SJ_MedfordChannel,SJ_MedfordChannel,5.21,7:56,476,0.66,15.76,Delta,,18,SJ_MedfordChannel,SJ_PrisonersPointN,SJ_MedfordChannel SJ_PrisonersPointN,SJ_PrisonersPointN SJ_MedfordChannel,5.21,
