year ,author,species,expSetup,N,size_mm,maxSwimSpeed_cm_per_s,velocity_cm_per_s,ratio_V_per_Max,prob,jounral,imageJ
1993,Hill,Rainbow,Lab,,61.5,37.36005,0,0,1,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,0,0,1,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,0,0,1,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,5,0.133832797,1,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,5,0.133832797,1,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,5,0.133832797,0.892,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,10,0.267665595,1,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,10,0.267665595,1,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,10,0.267665595,0.944,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,15,0.401498392,0.948,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,15,0.401498392,0.922,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,15,0.401498392,0.862,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,20,0.535331189,1,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,20,0.535331189,0.862,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,20,0.535331189,0.599,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,25,0.669163987,0.941,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,25,0.669163987,0.677,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,25,0.669163987,0.32,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,30,0.802996784,0.941,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,30,0.802996784,0.654,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,30,0.802996784,0.193,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,35,0.936829581,0.918,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,35,0.936829581,0.654,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,35,0.936829581,0.26,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,40,1.070662379,0.933,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,40,1.070662379,0.595,Ecology,Y
1993,Hill,Rainbow,Lab,,61.5,37.36005,40,1.070662379,0.1,Ecology,Y
1993,Hill,Rainbow,Lab,,98,47.3501,0,0,1,Ecology,Y
1993,Hill,Rainbow,Lab,,98,47.3501,0,0,1,Ecology,Y
1993,Hill,Rainbow,Lab,,98,47.3501,0,0,1,Ecology,Y
1993,Hill,Rainbow,Lab,,98,47.3501,5,0.105596398,1,Ecology,Y
1993,Hill,Rainbow,Lab,,98,47.3501,5,0.105596398,1,Ecology,Y
1993,Hill,Rainbow,Lab,,98,47.3501,5,0.105596398,0.899,Ecology,Y
