Year,Author,journal,Species,temperature,value,units,note,group
2015,Plumb,trans. am. fish,Chinook,0.266850675,0.016363766,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,0.752366666,0.018573909,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,1.256204014,0.022945621,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,1.760041363,0.027317333,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,2.263878711,0.033024846,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,2.76771606,0.040432468,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,3.271553408,0.048811583,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,3.775390757,0.058769371,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,4.279228105,0.070791578,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,4.783065454,0.084756769,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,5.286902802,0.101514998,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,5.790740151,0.120944828,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,6.294577499,0.14304626,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,6.798414848,0.168183603,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,7.279350499,0.196028979,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,7.737384452,0.225950917,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,8.14961501,0.2549044,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,8.516042172,0.282956218,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,8.859567637,0.31050711,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,9.203093102,0.339560778,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,9.546618567,0.370618148,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,9.867242334,0.399051623,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,10.1878661,0.430347528,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,10.50848987,0.461261776,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,10.82911364,0.492176024,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,11.1497374,0.522899443,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,11.47036117,0.554004519,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,11.79098494,0.584727939,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,12.1116087,0.614306386,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,12.43223247,0.643121518,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,12.75285624,0.671173336,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,13.0963817,0.699893054,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,13.46280887,0.728946722,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,13.78343263,0.756839515,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,14.17276149,0.781012595,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,14.67659884,0.811432423,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,15.18043619,0.83724981,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,15.63847014,0.863652341,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,16.0965041,0.882624255,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,16.60034145,0.900809643,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,17.10417879,0.916960689,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,17.60801614,0.930440134,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,18.11185349,0.941612287,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,18.61569084,0.950720019,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,19.11952819,0.959524161,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,19.62336554,0.964158985,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,20.12720289,0.966725342,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,20.63104023,0.963592282,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,21.13487758,0.95582035,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,21.63871493,0.939183558,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,22.07384719,0.912285386,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,22.39447095,0.882229868,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,22.69982692,0.848834847,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,22.85250491,0.820679134,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,23.04487917,0.779599547,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,23.26473547,0.735959676,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,23.44794905,0.698913466,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,23.62134761,0.662178943,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,23.75139654,0.62817168,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,23.85690793,0.576117173,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,24.02049149,0.534476383,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,24.13499998,0.504732552,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,24.22660677,0.474810613,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,24.31821356,0.446090895,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,24.43272205,0.412918507,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,24.57013223,0.373289749,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,24.70754242,0.334798896,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,24.85640345,0.290804048,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,25.05106788,0.25536822,NA,taken from curve,1
2015,Plumb,trans. am. fish,Chinook,13.89747456,0.779806079,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,15.39012439,0.795704686,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,15.40143234,0.824405877,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,15.91029024,0.96037035,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,15.98944591,0.782879895,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,16.00075386,0.875025195,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,16.00075386,0.92185299,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,16.00075386,1.000402839,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,18.11534112,0.980063327,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,19.00866943,0.977064669,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,19.00866943,0.879632645,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,19.39313984,0.830548669,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,19.40444779,0.998977957,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,19.40444779,0.705926597,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,19.89068979,0.952917691,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,19.89068979,0.792041558,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,19.90199774,0.98464003,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,19.90199774,0.993703474,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,19.90199774,0.865304683,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,19.99246136,0.946877957,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,20.89709763,1.001281397,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,20.9762533,1.00128339,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,21.79042593,0.873660383,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,21.80173389,0.909159157,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,21.90350547,0.866865647,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,22.016585,0.877442512,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,22.98906898,0.780034972,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,22.98906898,0.82082047,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,23.69016208,0.647122109,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,23.70147003,0.582167711,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,23.70147003,0.715098224,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,23.70147003,0.749841427,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,23.88239729,0.419785559,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,23.89370524,0.508909711,NA,taken from data,1
2015,Plumb,trans. am. fish,Chinook,23.89370524,0.632021493,NA,taken from data,1
