year,author,jounral,temperature,species,N,days,cumMort,mass,remaining,dailySurvival,conFactor
2003,Simpkins,Can. J Zoo,7.5,Chinook,58,42.618,0,20.093606,58,NA,NA
2003,Simpkins,Can. J Zoo,7.5,Chinook,58,55.794,0,19.658798,58,1,0.978360878
2003,Simpkins,Can. J Zoo,7.5,Chinook,58,70.206,0,19.183202,58,1,0.954691856
2003,Simpkins,Can. J Zoo,7.5,Chinook,58,84.618,2.703,18.707606,55.297,0.996694045,0.931022834
2003,Simpkins,Can. J Zoo,7.5,Chinook,58,98.824,5.856,18.238808,52.144,0.9958758,0.907692129
2003,Simpkins,Can. J Zoo,7.5,Chinook,58,112.206,15.165,17.797202,42.835,0.985412069,0.88571469
2003,Simpkins,Can. J Zoo,7.5,Chinook,58,125.794,21.622,17.348798,36.378,0.988047329,0.863398934
2003,Simpkins,Can. J Zoo,7.5,Chinook,58,140,31.381,16.88,26.619,0.978253529,0.840068229
2003,Simpkins,Can. J Zoo,7.5,Chinook,58,154.824,31.832,16.390808,26.168,0.998847942,0.815722574
2003,Simpkins,Can. J Zoo,4,Chinook,52,28.412,0.751,21.048756,51.249,NA,NA
2003,Simpkins,Can. J Zoo,4,Chinook,52,42.412,0.751,20.530756,51.249,1,0.97539047
2003,Simpkins,Can. J Zoo,4,Chinook,52,56.412,0.601,20.012756,51.399,1,0.950780939
2003,Simpkins,Can. J Zoo,4,Chinook,52,70.412,1.652,19.494756,50.348,0.998525387,0.926171409
2003,Simpkins,Can. J Zoo,4,Chinook,52,84.412,4.204,18.976756,47.796,0.996291398,0.901561879
2003,Simpkins,Can. J Zoo,4,Chinook,52,98.618,4.354,18.451134,47.646,0.999778761,0.876590236
2003,Simpkins,Can. J Zoo,4,Chinook,52,112.412,11.562,17.940756,40.438,0.988179111,0.852342818
2003,Simpkins,Can. J Zoo,4,Chinook,52,126.206,20.42,17.430378,31.58,0.982235518,0.828095399
2003,Simpkins,Can. J Zoo,4,Chinook,52,140.206,24.474,16.912378,27.526,0.990234213,0.803485869
2003,Simpkins,Can. J Zoo,4,Chinook,52,154.206,32.132,16.394378,19.868,0.976981867,0.778876338
2020,Shirvan,Aqua Research,NA,Siberian sturgeon,NA,NA,NA,NA,NA,1,1
2020,Shirvan,Aqua Research,NA,Siberian sturgeon,NA,NA,NA,NA,NA,1,0.882352941
2020,Shirvan,Aqua Research,NA,Siberian sturgeon,NA,NA,NA,NA,NA,0.9997,0.794117647
