year,author,jounral,species,river ,run,expSetup,N,length_cm,length_SD,weight_g,weight_SD,Notes,group
2013,Chapman,Environ. Biol. Fish,Chinook,Sac,LF,Field,200,16.5,1.1,46.6,9.75,NA,1
2013,Chapman,Environ. Biol. Fish,Chinook,Sac,LF,Field,304,16.9,1.3,52.6,13.83,NA,1
2013,Chapman,Environ. Biol. Fish,Chinook,Sac,LF,Field,300,15.2,0.8,38.9,7.88,NA,1
2013,Chapman,Environ. Biol. Fish,Chinook,Sac,LF,Field,306,15.2,1,39.3,8.83,NA,1
2012,Michel,Environ. Biol. Fish,Chinook,Sac,LF,Field,200,16.46,1.13137085,46.6,9.899494937,NA,2
2012,Michel,Environ. Biol. Fish,Chinook,Sac,LF,Field,304,16.87,1.394847662,52.6,13.94847662,NA,2
2012,Michel,Environ. Biol. Fish,Chinook,Sac,LF,Field,300,15.21,0.866025404,38.9,8.660254038,NA,2
2006,Van Eenennaam,TAFS,green sturgeon,Klamath,NDSP,Field,1,142.0343904,NA,22089.90536,NA,Figure 1,3
2006,Van Eenennaam,TAFS,green sturgeon,Klamath,NDSP,Field,1,144.0844127,NA,24077.28707,NA,Figure 1,3
2006,Van Eenennaam,TAFS,green sturgeon,Klamath,NDSP,Field,1,145.0491291,NA,24850.15773,NA,Figure 1,3
2006,Van Eenennaam,TAFS,green sturgeon,Klamath,NDSP,Field,1,145.0089326,NA,25899.05363,NA,Figure 1,3
2006,Van Eenennaam,TAFS,green sturgeon,Klamath,NDSP,Field,1,145.0089326,NA,22365.9306,NA,Figure 1,3
2006,Van Eenennaam,TAFS,green sturgeon,Klamath,NDSP,Field,1,146.054042,NA,18667.19243,NA,Figure 1,3
2006,Van Eenennaam,TAFS,green sturgeon,Klamath,NDSP,Field,1,147.9834748,NA,21427.44479,NA,Figure 1,3
2006,Van Eenennaam,TAFS,green sturgeon,Klamath,NDSP,Field,1,148.9079946,NA,22145.11041,NA,Figure 1,3
2006,Van Eenennaam,TAFS,green sturgeon,Klamath,NDSP,Field,1,149.0285842,NA,23194.00631,NA,Figure 1,3
2006,Van Eenennaam,TAFS,green sturgeon,Klamath,NDSP,Field,1,147.300134,NA,24463.7224,NA,Figure 1,3
2006,Van Eenennaam,TAFS,green sturgeon,Klamath,NDSP,Field,1,150.4756588,NA,21979.49527,NA,Figure 1,3
2006,Van Eenennaam,TAFS,green sturgeon,Klamath,NDSP,Field,1,149.872711,NA,26340.69401,NA,Figure 1,3
2006,Van Eenennaam,TAFS,green sturgeon,Klamath,NDSP,Field,1,151.03841,NA,27058.35962,NA,Figure 1,3
2006,Van Eenennaam,TAFS,green sturgeon,Klamath,NDSP,Field,1,152.0031264,NA,27720.82019,NA,Figure 1,3
2006,Van Eenennaam,TAFS,green sturgeon,Klamath,NDSP,Field,1,150.9178205,NA,25291.79811,NA,Figure 1,3
2006,Van Eenennaam,TAFS,green sturgeon,Klamath,NDSP,Field,1,153.0080393,NA,24077.28707,NA,Figure 1,3
