year,author,journal,mass_g,se_mass_g,temperature_c,swimspeed_m_per_s,se_swimspeed_m_per_s,swimspeed_cm_per_s,se_swimspeed_cm_per_s,swimspeed_bodylengths_per_second,se_swimSpeed_bodylengths_per_second,mr_mgo2_per_h,se_mr_mgo2_per_h,species,subspecies,family,run,life_stage,wild_or_hatchery,author_fishid,acclimation_temperature_c,indiv_or_mean,n,fork_length_cm,total_length_cm,age_years,sex,a,b,predicted_fork_length_cm,data_quality,age_dph,exogenous_or_endogenous,salinity_factor,salinity_note,title,smolt_factor,ration_perc_satiation_pastweek,population,river_or_hatchery_name,ecotype,study,comment
1986,Dabrowski et al,Aquac.,339,NA,17,0,,0,NA,0,NA,9.04,,Acipenser baeri,,Acipenseridae,,juvenile,NS,control,17,mean,14,NA,,,,,,,2,21,exogenous,,,Rearing of Sturgeon (Acipenser baeri Brandt ) Larvae III. Nitrogen and Energy Metabolism and Amino Acid Absorption ,,,Not specified,Not specified,,Dabrowski et al1986_Aquac.,
1986,Dabrowski et al,Aquac.,258,NA,17,0,,0,NA,0,NA,9.575178571,,Acipenser baeri,,Acipenseridae,,juvenile,NS,control,17,mean,14,NA,,,,,,,2,21,exogenous,,,Rearing of Sturgeon (Acipenser baeri Brandt ) Larvae III. Nitrogen and Energy Metabolism and Amino Acid Absorption ,,,Not specified,Not specified,,Dabrowski et al1986_Aquac.,
1986,Dabrowski et al,Aquac.,142,NA,17,0,,0,NA,0,NA,5.815238095,,Acipenser baeri,,Acipenseridae,,juvenile,NS,control,17,mean,14,NA,,,,,,,2,21,exogenous,,,Rearing of Sturgeon (Acipenser baeri Brandt ) Larvae III. Nitrogen and Energy Metabolism and Amino Acid Absorption ,,,Not specified,Not specified,,Dabrowski et al1986_Aquac.,
1986,Dabrowski et al,Aquac.,91,NA,17,0,,0,NA,0,NA,4.509375,,Acipenser baeri,,Acipenseridae,,juvenile,NS,control,17,mean,14,NA,,,,,,,2,21,exogenous,,,Rearing of Sturgeon (Acipenser baeri Brandt ) Larvae III. Nitrogen and Energy Metabolism and Amino Acid Absorption ,,,Not specified,Not specified,,Dabrowski et al1986_Aquac.,
1986,Dabrowski et al,Aquac.,339,NA,17,0,,0,NA,0,NA,10.86616071,,Acipenser baeri,,Acipenseridae,,juvenile,NS,group 1,17,mean,14,NA,,,,,,,2,21,exogenous,,,Rearing of Sturgeon (Acipenser baeri Brandt ) Larvae III. Nitrogen and Energy Metabolism and Amino Acid Absorption ,,,Not specified,Not specified,,Dabrowski et al1986_Aquac.,
1986,Dabrowski et al,Aquac.,258,NA,17,0,,0,NA,0,NA,19.11964286,,Acipenser baeri,,Acipenseridae,,juvenile,NS,group 1,17,mean,14,NA,,,,,,,2,21,exogenous,,,Rearing of Sturgeon (Acipenser baeri Brandt ) Larvae III. Nitrogen and Energy Metabolism and Amino Acid Absorption ,,,Not specified,Not specified,,Dabrowski et al1986_Aquac.,
1986,Dabrowski et al,Aquac.,142,NA,17,0,,0,NA,0,NA,6.140654762,,Acipenser baeri,,Acipenseridae,,juvenile,NS,group 1,17,mean,14,NA,,,,,,,2,21,exogenous,,,Rearing of Sturgeon (Acipenser baeri Brandt ) Larvae III. Nitrogen and Energy Metabolism and Amino Acid Absorption ,,,Not specified,Not specified,,Dabrowski et al1986_Aquac.,
1986,Dabrowski et al,Aquac.,91,NA,17,0,,0,NA,0,NA,4.211458333,,Acipenser baeri,,Acipenseridae,,juvenile,NS,group 1,17,mean,14,NA,,,,,,,2,21,exogenous,,,Rearing of Sturgeon (Acipenser baeri Brandt ) Larvae III. Nitrogen and Energy Metabolism and Amino Acid Absorption ,,,Not specified,Not specified,,Dabrowski et al1986_Aquac.,
1986,Dabrowski et al,Aquac.,339,NA,17,0,,0,NA,0,NA,10.98723214,,Acipenser baeri,,Acipenseridae,,juvenile,NS,group 2,17,mean,14,NA,,,,,,,2,21,exogenous,,,Rearing of Sturgeon (Acipenser baeri Brandt ) Larvae III. Nitrogen and Energy Metabolism and Amino Acid Absorption ,,,Not specified,Not specified,,Dabrowski et al1986_Aquac.,
1986,Dabrowski et al,Aquac.,258,NA,17,0,,0,NA,0,NA,16.42446429,,Acipenser baeri,,Acipenseridae,,juvenile,NS,group 2,17,mean,14,NA,,,,,,,2,21,exogenous,,,Rearing of Sturgeon (Acipenser baeri Brandt ) Larvae III. Nitrogen and Energy Metabolism and Amino Acid Absorption ,,,Not specified,Not specified,,Dabrowski et al1986_Aquac.,
