year,author,journal,mass_g,se_mass_g,temperature_c,temperature_c_sd,swimspeed_cm_per_s,se_swimspeed_cm_per_s,swimspeed_bodylengths_per_second,se_swimSpeed_bodylengths_per_second,mr_mgo2_per_h,species,life_stage,author_notes,notes,author_fishid,indiv_or_mean,n,fork_length_cm,data_quality,age_dph,exogenous_or_endogenous,salinity_ppt,salinity_factor,latitude_degrees,longitude_degrees,river_of_origin,hatchery_or_wIld,digitized_figure
2013,Beauregard et al.,Can. J. Fish. Aquat. Sci,7.123682863,,20.2,0.5,0,NA,0,NA,0.570176431,Salmo salar,juvenile,constant thermal regime,"three thermal regimes: all three center at 20 degrees, one with a minor diurnal variation  (18.5 to 21.5) and one with major diurnal variation (17.5 to 22.5)",,individual,1,NA,1,,exogenous,NA,NA,47,-70,Ouelle River,wild,NA
2013,Beauregard et al.,Can. J. Fish. Aquat. Sci,8.919627969,,20.2,0.5,0,NA,0,NA,0.453929985,Salmo salar,juvenile,constant thermal regime,"three thermal regimes: all three center at 20 degrees, one with a minor diurnal variation  (18.5 to 21.5) and one with major diurnal variation (17.5 to 22.5)",,individual,1,NA,1,,exogenous,NA,NA,47,-70,Ouelle River,wild,NA
2013,Beauregard et al.,Can. J. Fish. Aquat. Sci,8.464485294,,20.2,0.5,0,NA,0,NA,0.683749232,Salmo salar,juvenile,constant thermal regime,"three thermal regimes: all three center at 20 degrees, one with a minor diurnal variation  (18.5 to 21.5) and one with major diurnal variation (17.5 to 22.5)",,individual,1,NA,1,,exogenous,NA,NA,47,-70,Ouelle River,wild,NA
2013,Beauregard et al.,Can. J. Fish. Aquat. Sci,8.953876413,,20.2,0.5,0,NA,0,NA,0.666685918,Salmo salar,juvenile,constant thermal regime,"three thermal regimes: all three center at 20 degrees, one with a minor diurnal variation  (18.5 to 21.5) and one with major diurnal variation (17.5 to 22.5)",,individual,1,NA,1,,exogenous,NA,NA,47,-70,Ouelle River,wild,NA
2013,Beauregard et al.,Can. J. Fish. Aquat. Sci,9.803944232,,20.2,0.5,0,NA,0,NA,0.68394699,Salmo salar,juvenile,constant thermal regime,"three thermal regimes: all three center at 20 degrees, one with a minor diurnal variation  (18.5 to 21.5) and one with major diurnal variation (17.5 to 22.5)",,individual,1,NA,1,,exogenous,NA,NA,47,-70,Ouelle River,wild,NA
2013,Beauregard et al.,Can. J. Fish. Aquat. Sci,10.37077884,,20.2,0.5,0,NA,0,NA,0.640802265,Salmo salar,juvenile,constant thermal regime,"three thermal regimes: all three center at 20 degrees, one with a minor diurnal variation  (18.5 to 21.5) and one with major diurnal variation (17.5 to 22.5)",,individual,1,NA,1,,exogenous,NA,NA,47,-70,Ouelle River,wild,NA
2013,Beauregard et al.,Can. J. Fish. Aquat. Sci,7.105505942,,20.2,0.5,0,NA,0,NA,1.029674577,Salmo salar,juvenile,constant thermal regime,"three thermal regimes: all three center at 20 degrees, one with a minor diurnal variation  (18.5 to 21.5) and one with major diurnal variation (17.5 to 22.5)",,individual,1,NA,1,,exogenous,NA,NA,47,-70,Ouelle River,wild,NA
2013,Beauregard et al.,Can. J. Fish. Aquat. Sci,8.55143177,,20.2,0.5,0,NA,0,NA,1.033791953,Salmo salar,juvenile,constant thermal regime,"three thermal regimes: all three center at 20 degrees, one with a minor diurnal variation  (18.5 to 21.5) and one with major diurnal variation (17.5 to 22.5)",,individual,1,NA,1,,exogenous,NA,NA,47,-70,Ouelle River,wild,NA
2013,Beauregard et al.,Can. J. Fish. Aquat. Sci,9.115449428,,20.2,0.5,0,NA,0,NA,1.00072448,Salmo salar,juvenile,constant thermal regime,"three thermal regimes: all three center at 20 degrees, one with a minor diurnal variation  (18.5 to 21.5) and one with major diurnal variation (17.5 to 22.5)",,individual,1,NA,1,,exogenous,NA,NA,47,-70,Ouelle River,wild,NA
2013,Beauregard et al.,Can. J. Fish. Aquat. Sci,9.057412786,,20.2,0.5,0,NA,0,NA,1.313467404,Salmo salar,juvenile,constant thermal regime,"three thermal regimes: all three center at 20 degrees, one with a minor diurnal variation  (18.5 to 21.5) and one with major diurnal variation (17.5 to 22.5)",,individual,1,NA,1,,exogenous,NA,NA,47,-70,Ouelle River,wild,NA
2013,Beauregard et al.,Can. J. Fish. Aquat. Sci,8.705742658,,20.2,0.5,0,NA,0,NA,1.212662018,Salmo salar,juvenile,constant thermal regime,"three thermal regimes: all three center at 20 degrees, one with a minor diurnal variation  (18.5 to 21.5) and one with major diurnal variation (17.5 to 22.5)",,individual,1,NA,1,,exogenous,NA,NA,47,-70,Ouelle River,wild,NA
2013,Beauregard et al.,Can. J. Fish. Aquat. Sci,9.209082554,,20.2,0.5,0,NA,0,NA,1.459159571,Salmo salar,juvenile,constant thermal regime,"three thermal regimes: all three center at 20 degrees, one with a minor diurnal variation  (18.5 to 21.5) and one with major diurnal variation (17.5 to 22.5)",,individual,1,NA,1,,exogenous,NA,NA,47,-70,Ouelle River,wild,NA
2013,Beauregard et al.,Can. J. Fish. Aquat. Sci,9.375260772,,20.2,0.5,0,NA,0,NA,1.327923925,Salmo salar,juvenile,constant thermal regime,"three thermal regimes: all three center at 20 degrees, one with a minor diurnal variation  (18.5 to 21.5) and one with major diurnal variation (17.5 to 22.5)",,individual,1,NA,1,,exogenous,NA,NA,47,-70,Ouelle River,wild,NA
2013,Beauregard et al.,Can. J. Fish. Aquat. Sci,9.816476182,,20.2,0.5,0,NA,0,NA,1.285402922,Salmo salar,juvenile,constant thermal regime,"three thermal regimes: all three center at 20 degrees, one with a minor diurnal variation  (18.5 to 21.5) and one with major diurnal variation (17.5 to 22.5)",,individual,1,NA,1,,exogenous,NA,NA,47,-70,Ouelle River,wild,NA
