year,author,journal,mass_g,se_mass_g,temperature_c,temperature_c_sd,swimspeed_cm_per_s,se_swimspeed_cm_per_s,swimspeed_bodylengths_per_second,se_swimSpeed_bodylengths_per_second,mr_mgo2_per_h,species,life_stage,author_notes,notes,author_fishid,indiv_or_mean,n,fork_length_cm,data_quality,age_dph,exogenous_or_endogenous,salinity_ppt,salinity_factor,latitude_degrees,longitude_degrees,river_of_origin,hatchery_or_wIld,digitized_figure,SMR_micromol_per_hour,food_factor,ration_perc_satiation_pastweek
2011,Van Leeuwen,Journ. Animal Eco.,2.107437915,NA,13.1,0.4,0,NA,0,NA,0.482045803,Onchorhynchus kisutch,juvenile,,reduced ration,,individual,1,NA,2,NA,exogenous,0,fresh,NA,NA,NA,hatchery,1,15.06393136,reduced,0
2011,Van Leeuwen,Journ. Animal Eco.,2.908047745,NA,13.1,0.4,0,NA,0,NA,0.396013707,Onchorhynchus kisutch,juvenile,,reduced ration,,individual,1,NA,2,NA,exogenous,0,fresh,NA,NA,NA,hatchery,1,12.37542834,reduced,0
2011,Van Leeuwen,Journ. Animal Eco.,3.232797816,NA,13.1,0.4,0,NA,0,NA,0.415147229,Onchorhynchus kisutch,juvenile,,reduced ration,,individual,1,NA,2,NA,exogenous,0,fresh,NA,NA,NA,hatchery,1,12.97335091,reduced,0
2011,Van Leeuwen,Journ. Animal Eco.,3.625659148,NA,13.1,0.4,0,NA,0,NA,0.415024583,Onchorhynchus kisutch,juvenile,,reduced ration,,individual,1,NA,2,NA,exogenous,0,fresh,NA,NA,NA,hatchery,1,12.96951823,reduced,0
2011,Van Leeuwen,Journ. Animal Eco.,3.53095937,NA,13.1,0.4,0,NA,0,NA,0.498848468,Onchorhynchus kisutch,juvenile,,reduced ration,,individual,1,NA,2,NA,exogenous,0,fresh,NA,NA,NA,hatchery,1,15.58901462,reduced,0
2011,Van Leeuwen,Journ. Animal Eco.,4.363618188,NA,13.1,0.4,0,NA,0,NA,0.55806063,Onchorhynchus kisutch,juvenile,,reduced ration,,individual,1,NA,2,NA,exogenous,0,fresh,NA,NA,NA,hatchery,1,17.43939469,reduced,0
2011,Van Leeuwen,Journ. Animal Eco.,4.682718858,NA,13.1,0.4,0,NA,0,NA,0.595582167,Onchorhynchus kisutch,juvenile,,reduced ration,,individual,1,NA,2,NA,exogenous,0,fresh,NA,NA,NA,hatchery,1,18.61194271,reduced,0
2011,Van Leeuwen,Journ. Animal Eco.,2.895248356,NA,13.1,0.4,0,NA,0,NA,0.505060415,Onchorhynchus kisutch,juvenile,,full ration,,individual,1,NA,1,NA,exogenous,0,fresh,NA,NA,NA,hatchery,1,15.78313797,full,100
2011,Van Leeuwen,Journ. Animal Eco.,4.421746795,NA,13.1,0.4,0,NA,0,NA,0.592147021,Onchorhynchus kisutch,juvenile,,full ration,,individual,1,NA,1,NA,exogenous,0,fresh,NA,NA,NA,hatchery,1,18.50459442,full,100
2011,Van Leeuwen,Journ. Animal Eco.,5.512889789,NA,13.1,0.4,0,NA,0,NA,0.61325424,Onchorhynchus kisutch,juvenile,,full ration,,individual,1,NA,1,NA,exogenous,0,fresh,NA,NA,NA,hatchery,1,19.164195,full,100
2011,Van Leeuwen,Journ. Animal Eco.,5.761511041,NA,13.1,0.4,0,NA,0,NA,0.602368585,Onchorhynchus kisutch,juvenile,,full ration,,individual,1,NA,1,NA,exogenous,0,fresh,NA,NA,NA,hatchery,1,18.82401827,full,100
2011,Van Leeuwen,Journ. Animal Eco.,6.128530077,NA,13.1,0.4,0,NA,0,NA,0.719585044,Onchorhynchus kisutch,juvenile,,full ration,,individual,1,NA,1,NA,exogenous,0,fresh,NA,NA,NA,hatchery,1,22.48703264,full,100
