year,author,journal,mass_g,se_mass_g,temperature_c,swimspeed_m_per_s,se_swimspeed_m_per_s,swimspeed_cm_per_s,se_swimspeed_cm_per_s,swimspeed_bodylengths_per_second,se_swimSpeed_bodylengths_per_second,mr_mgo2_per_h,se_mr_mgo2_per_h,ln_mr_mgo2_per_h,ln_mass_g,species,race,life_stage,wild_or_hatchery,author_fishid,acclimation_temperature_c,indiv_or_mean,n,fork_length_cm,total_length_cm,age,salinity_permil,sex,a,b,predicted_fork_length_cm,data_quality,age_dph,exogenous_or_endogenous,salinity_factor,salinity_note,title,smolt_factor,ration_perc_satiation_pastweek,population,ecotype
1987,Oliva-Teles,Comp. Biochem. Physiol.,NA,NA,12,,,NA,NA,NA,NA,0.017180286,NA,NA,NA,Oncorhynchus mykiss,rainbow trout,larval,hatchery,NA,12,mean,4.00,NA,NA,0.021917808,NA,NA,NA,NA,NA,1,8,endogenous,fresh,NA,,pre-smolt,,,
1987,Oliva-Teles,Comp. Biochem. Physiol.,NA,NA,12,,,NA,NA,NA,NA,0.023794206,NA,NA,NA,Oncorhynchus mykiss,rainbow trout,larval,hatchery,NA,12,mean,4.00,NA,NA,0.021917808,NA,NA,NA,NA,NA,1,8,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.001374854,NA,6,,,8.333333333,NA,NA,NA,0.000452522,NA,-7.700673613,-6.58940763,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,-0.133424658,NA,NA,NA,NA,NA,1,-48.7,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.002161375,NA,12,,,8.333333333,NA,NA,NA,0.000838279,NA,-7.084159659,-6.137010713,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,-0.06,NA,NA,NA,NA,NA,1,-21.9,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.00327119,NA,6,,,8.333333333,NA,NA,NA,0.000548961,NA,-7.507482384,-5.722601579,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,-0.106027397,NA,NA,NA,NA,NA,1,-38.7,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.004334945,NA,12,,,8.333333333,NA,NA,NA,0.001320475,NA,-6.629763927,-5.441046429,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,-0.051780822,NA,NA,NA,NA,NA,1,-18.9,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.00816885,NA,12,,,8.333333333,NA,NA,NA,0.003152819,NA,-5.759458309,-4.807427171,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,-0.035342466,NA,NA,NA,NA,NA,1,-12.9,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.008213593,NA,15,,,8.333333333,NA,NA,NA,0.005081602,NA,-5.282128639,-4.801964783,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,-0.035616438,NA,NA,NA,NA,NA,1,-13,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.010438048,NA,9,,,8.333333333,NA,NA,NA,0.002670623,NA,-5.925443446,-4.562297708,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,-0.046575342,NA,NA,NA,NA,NA,1,-17,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.012082153,NA,6,,,8.333333333,NA,NA,NA,0.002767062,NA,-5.889969058,-4.416025907,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,-0.064931507,NA,NA,NA,NA,NA,1,-23.7,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.016700824,NA,15,,,8.333333333,NA,NA,NA,0.006913947,NA,-4.974214663,-4.092297231,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,-0.021917808,NA,NA,NA,NA,NA,1,-8,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.01884281,NA,12,,,8.333333333,NA,NA,NA,0.006817507,NA,-4.988261355,-3.971623876,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,-0.021643836,NA,NA,NA,NA,NA,1,-7.9,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.022769711,NA,9,,,8.333333333,NA,NA,NA,0.005467359,NA,-5.208959585,-3.782324079,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,-0.024657534,NA,NA,NA,NA,NA,1,-9,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.027409,NA,6,,,8.333333333,NA,NA,NA,0.004695846,NA,-5.361077055,-3.596883867,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,-0.029315068,NA,NA,NA,NA,NA,1,-10.7,endogenous,fresh,NA,,pre-smolt,,,
