year,author,journal,mass_g,se_mass_g,temperature_c,swimspeed_cm_per_s,se_swimspeed_cm_per_s,swimspeed_bodylengths_per_second,se_swimSpeed_bodylengths_per_second,mr_mgo2_per_h,se_mr_mgo2_per_h,ln_mr_mgo2_per_h,ln_mass_g,species,race,life_stage,author_notes,acclimation_temperature_c,indiv_or_mean,n,fork_length_cm,data_quality,age_dph,exogenous_or_endogenous,wetmass_or_dry,salinity_ppt,salinity_factor,smolt_factor
1973,Brocksen and Bailey,International oil spill conference,4.32,NA,16,7,NA,NA,NA,1,NA,0,1.463255402,Oncorhynchus tshawytscha,hatchery,juvenile,NA,NA,individual,1,NA,3,NA,exogenous,wet,NA,NA,pre-smolt
1973,Brocksen and Bailey,International oil spill conference,4.75,NA,16,14,NA,NA,NA,1.11,NA,0.104360015,1.558144618,Oncorhynchus tshawytscha,hatchery,juvenile,NA,NA,individual,1,NA,3,NA,exogenous,wet,NA,NA,pre-smolt
1991,Morgan and Iwama, Can. J. Fish. Aquat.,7.939189189,0.466216216,11.5,0,NA,0,NA,2.112267148,0.124039518,0.747761848,2.071811153,Oncorhynchus tshawytscha,hatchery,juvenile,NA,,mean,2,NA,1,NA,exogenous,wet,0,fresh,post-smolt
1991,Morgan and Iwama, Can. J. Fish. Aquat.,6.885135135,0.506756757,11.5,0,NA,0,NA,2.062248842,0.151784753,0.723797058,1.929364759,Oncorhynchus tshawytscha,hatchery,juvenile,NA,,mean,2,NA,2,NA,exogenous,wet,5,salt,pre-smolt
1991,Morgan and Iwama, Can. J. Fish. Aquat.,6.317567568,0.486486486,11.5,0,NA,0,NA,1.964738344,0.151295359,0.675359078,1.843334256,Oncorhynchus tshawytscha,hatchery,juvenile,NA,,mean,2,NA,2,NA,exogenous,wet,10,salt,pre-smolt
1991,Morgan and Iwama, Can. J. Fish. Aquat.,5.486486486,0.324324324,11.5,0,NA,0,NA,1.94759341,0.115128674,0.666594462,1.702288066,Oncorhynchus tshawytscha,hatchery,juvenile,NA,,mean,2,NA,2,NA,exogenous,wet,20,salt,pre-smolt
1991,Morgan and Iwama, Can. J. Fish. Aquat.,4.391891892,0.486486486,11.5,0,NA,0,NA,1.54013675,0.170599763,0.431871211,1.479760089,Oncorhynchus tshawytscha,hatchery,juvenile,NA,,mean,2,NA,2,NA,exogenous,wet,28,salt,pre-smolt
1991,Rombough,Physiol. Zool.,0.093693694,NA,12,NA,NA,NA,NA,0.028718919,NA,-3.550199178,-3.550199178,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.099099099,NA,12,NA,NA,NA,NA,0.033702703,NA,-3.390177246,-3.390177246,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.124324324,NA,12,NA,NA,NA,NA,0.038627027,NA,-3.253803065,-3.253803065,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.10990991,NA,12,NA,NA,NA,NA,0.04467027,NA,-3.108447093,-3.108447093,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.118918919,NA,12,NA,NA,NA,NA,0.053643243,NA,-2.925399759,-2.925399759,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.131531532,NA,12,NA,NA,NA,NA,0.064605405,NA,-2.739457197,-2.739457197,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.176576577,NA,12,NA,NA,NA,NA,0.05647027,NA,-2.874040969,-2.874040969,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.194594595,NA,12,NA,NA,NA,NA,0.065416216,NA,-2.726985097,-2.726985097,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.207207207,NA,12,NA,NA,NA,NA,0.066378378,NA,-2.712383902,-2.712383902,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.230630631,NA,12,NA,NA,NA,NA,0.066308108,NA,-2.713443095,-2.713443095,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.187387387,NA,12,NA,NA,NA,NA,0.076437838,NA,-2.571277446,-2.571277446,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.185585586,NA,12,NA,NA,NA,NA,0.079443243,NA,-2.532712434,-2.532712434,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.187387387,NA,12,NA,NA,NA,NA,0.092437838,NA,-2.381218884,-2.381218884,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.259459459,NA,12,NA,NA,NA,NA,0.061221622,NA,-2.793254857,-2.793254857,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.369369369,NA,12,NA,NA,NA,NA,0.100891892,NA,-2.293705713,-2.293705713,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.342342342,NA,12,NA,NA,NA,NA,0.118972973,NA,-2.12885893,-2.12885893,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.351351351,NA,12,NA,NA,NA,NA,0.140945946,NA,-1.959378824,-1.959378824,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.392792793,NA,12,NA,NA,NA,NA,0.111821622,NA,-2.190850341,-2.190850341,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.405405405,NA,12,NA,NA,NA,NA,0.114783784,NA,-2.164705061,-2.164705061,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.428828829,NA,12,NA,NA,NA,NA,0.110713514,NA,-2.200809373,-2.200809373,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.427027027,NA,12,NA,NA,NA,NA,0.130718919,NA,-2.034705918,-2.034705918,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
