year,author,journal,mass_g,se_mass_g,temperature_c,swimspeed_cm_per_s,se_swimSpeed_cm_per_s,swimspeed_bodylengths_per_second,se_swimSpeed_bodylengths_per_second,mr_mgo2_per_h,se_mr_mgo2_per_h,ln_mr_mgo2_per_h,ln_mass_g,species,race,life_stage,author_fishid,acclimation_temperature_c,indiv_or_mean,n,fork_length_cm,age,data_quality,age_dph,total_length_mm,mr_mg_O2_per_g_per_h,exogenous_or_endogenous,salinity_permil,salinity_factor,smolt_factor
2004,Mayfield and Cech,Trans. Am. Fish. Soc. .,1.781275501,NA,11,0,NA,0,NA,0.26470627,NA,-1.329134485,0.577329681,Acipenser medirostris,NA,juvenile,NA,19,individual,1,NA,0,1,177,NA,NA,exogenous,0,fresh,seawater-tolerant
2004,Mayfield and Cech,Trans. Am. Fish. Soc. .,5.310106371,NA,11,0,NA,0,NA,0.193759441,NA,-1.641137885,1.669611867,Acipenser medirostris,NA,juvenile,NA,19,individual,1,NA,0,1,177,NA,NA,exogenous,0,fresh,seawater-tolerant
2004,Mayfield and Cech,Trans. Am. Fish. Soc. .,5.891410751,NA,11,0,NA,0,NA,0.171026076,NA,-1.765939245,1.773495485,Acipenser medirostris,NA,juvenile,NA,19,individual,1,NA,0,1,177,NA,NA,exogenous,0,fresh,seawater-tolerant
2004,Mayfield and Cech,Trans. Am. Fish. Soc. .,12.43619813,NA,11,0,NA,0,NA,0.397114723,NA,-0.923530064,2.520611424,Acipenser medirostris,NA,juvenile,NA,19,individual,1,NA,0,1,177,NA,NA,exogenous,0,fresh,seawater-tolerant
2004,Mayfield and Cech,Trans. Am. Fish. Soc. .,21.65399844,NA,11,0,NA,0,NA,0.290679654,NA,-1.235533465,3.075190123,Acipenser medirostris,NA,juvenile,NA,19,individual,1,NA,0,1,177,NA,NA,exogenous,0,fresh,seawater-tolerant
2004,Mayfield and Cech,Trans. Am. Fish. Soc. .,6.789383093,NA,11,0,NA,0,NA,1.340822452,NA,0.293283196,1.915360082,Acipenser medirostris,NA,juvenile,NA,19,individual,1,NA,0,1,177,NA,NA,exogenous,0,fresh,seawater-tolerant
2004,Mayfield and Cech,Trans. Am. Fish. Soc. .,8.071527602,NA,11,0,NA,0,NA,0.981453931,NA,-0.018720204,2.088342758,Acipenser medirostris,NA,juvenile,NA,19,individual,1,NA,0,1,177,NA,NA,exogenous,0,fresh,seawater-tolerant
2004,Mayfield and Cech,Trans. Am. Fish. Soc. .,13.11216417,NA,11,0,NA,0,NA,0.718403705,NA,-0.330723604,2.573540362,Acipenser medirostris,NA,juvenile,NA,19,individual,1,NA,0,1,177,NA,NA,exogenous,0,fresh,seawater-tolerant
2004,Mayfield and Cech,Trans. Am. Fish. Soc. .,15.60153254,NA,11,0,NA,0,NA,0.92208222,NA,-0.081120884,2.747369149,Acipenser medirostris,NA,juvenile,NA,19,individual,1,NA,0,1,177,NA,NA,exogenous,0,fresh,seawater-tolerant
2004,Mayfield and Cech,Trans. Am. Fish. Soc. .,15.60666696,NA,11,0,NA,0,NA,1.147151022,NA,0.137281496,2.747698192,Acipenser medirostris,NA,juvenile,NA,19,individual,1,NA,0,1,177,NA,NA,exogenous,0,fresh,seawater-tolerant
