ID,RMR,MRmax,AS,FAS,TEMP,Mass.g
W1,2.43,9.19,6.76,3.78,13,15.7
W3,2.32,8.03,5.71,3.46,13,10.9
W4,2.19,8.94,6.75,4.08,13,10.6
W5,3.48,8.74,5.26,2.51,15,13.4
W6,2.83,7.13,4.31,2.52,15,29.2
W9,3.06,13.60,8.79,2.82,21,20.2
W10,3.24,9.83,6.59,3.03,21,79.6
W11,4.74,13.23,8.49,2.79,23,24.3
W12,4.67,10.50,5.83,2.25,23,25.1
W16,3.02,6.71,3.68,2.22,14,28.4
W18,2.77,9.91,7.14,3.58,16,25.9
W19,4.42,11.71,7.29,2.65,20,38.4
W20,4.38,12.94,8.57,2.96,20,28.1
W21,3.75,13.50,9.76,3.61,22,21.7
W22,3.55,11.97,8.42,3.37,22,15.8
W23,3.18,10.90,7.71,3.42,18,47.1
W24,3.40,8.43,5.03,2.48,18,22.6
W25,5.01,13.70,8.69,2.73,23,18.7
W26,4.71,11.38,6.67,2.42,23,23.4
W27,3.32,11.51,8.20,3.47,17,24.9
W28,3.49,10.57,7.07,3.02,17,19.9
W29,6.60,16.67,10.06,2.52,24,13.0
W30,6.46,11.25,4.80,1.74,24,16.5
W31,3.36,9.64,6.28,2.87,19,29.0
W32,3.84,8.04,4.20,2.09,19,27.2
W33,2.67,8.56,5.89,3.21,13,16.4
W34,2.51,7.97,5.46,3.17,13,12.2
W35,5.83,12.08,6.24,2.07,25,27.4
W36,8.73,16.34,7.61,1.87,25,12.4
W39,4.69,8.87,4.19,1.89,23,12.0
W40,5.81,17.59,11.78,3.03,23,18.5
W41,5.88,12.12,6.24,2.06,24,23.1
W42,4.73,12.06,7.33,2.55,24,25.5
W43,6.84,11.16,4.32,1.63,25,14.5
W44,7.56,15.56,8.00,2.06,25,14.9
W45,4.37,14.70,10.33,3.37,19,11.5
W46,4.36,9.43,5.07,2.16,19,13.1
