year ,author,jounral,species,fLength_cm,reaction_distance_m,notes
2013,Hansen,Trans amer fish Soc,Chinook,20.94164456,1.141516271,figure 3
2013,Hansen,Trans amer fish Soc,Chinook,21.89655172,1.170440873,figure 3
2013,Hansen,Trans amer fish Soc,Chinook,21.93633952,1.233192906,figure 3
2013,Hansen,Trans amer fish Soc,Chinook,24.8806366,1.069000191,figure 3
2013,Hansen,Trans amer fish Soc,Chinook,25.95490716,1.053501153,figure 3
2013,Hansen,Trans amer fish Soc,Chinook,27.06896552,1.132126697,figure 3
2013,Hansen,Trans amer fish Soc,Chinook,23.76657825,1.165538045,figure 3
2013,Hansen,Trans amer fish Soc,Chinook,24.48275862,1.157819733,figure 3
2013,Hansen,Trans amer fish Soc,Chinook,24.8806366,1.215405419,figure 3
2013,Hansen,Trans amer fish Soc,Chinook,25.71618037,1.236466081,figure 3
2013,Hansen,Trans amer fish Soc,Chinook,26.98938992,1.234073612,figure 3
2013,Hansen,Trans amer fish Soc,Chinook,24.40318302,1.241465994,figure 3
2013,Hansen,Trans amer fish Soc,Chinook,24.84084881,1.272914825,figure 3
2013,Hansen,Trans amer fish Soc,Chinook,23.68700265,1.314543784,figure 3
2013,Hansen,Trans amer fish Soc,Chinook,22.93103448,1.400686535,figure 3
2013,Hansen,Trans amer fish Soc,Chinook,23.64721485,1.39819698,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.349524413,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.339885859,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.335827521,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.328218136,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.331769182,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.268864933,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.282054534,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.29220038,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.319086874,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.333798351,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.287127457,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.282054534,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.272923272,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.254153456,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.231832594,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.305897273,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.266074826,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.255675333,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.249080533,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.231832594,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.289156627,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.248319594,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.236905517,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.215091947,figure 3
2008,Piccolo,CJFAS,Steelhead,7.5,0.206467977,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.245529486,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.303868104,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.314521243,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.326188966,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.339885859,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.294736842,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.28763475,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.280532657,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.273937857,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.22878884,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.319594166,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.315535828,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.302853519,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.272923272,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.27038681,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.265821179,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.249587825,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.245022194,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.230818009,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.144578313,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.223715916,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.228281547,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.234876347,figure 3
2008,Piccolo,CJFAS,Coho,7.5,0.238427394,figure 3
