target_temp_type,author,year,journal,endpoint,target_temp_degrees_C,se_target_temp_degrees_c,daily_survival_percent,daily_survival_prob,accumulated_degree_hours_above_acc_temp,swimspeed_bodylengths_per_second,n,mass_g,se_mass_g,total_length_cm,se_length_cm,acclimation_temp_C,temp_increase_rate_degreesC_per_hour,species,run,life_stage,wild_or_hatchery,ration_percent_of_satiation,salinity (g/liter),river of origin,data_quality,fork_length_cm,se_fork_length_cm,hours spent increasing temp,total_duration_hours,degree_hours_per_hour,median_resistance_time_minutes,total_duration_days,hours_spent_at_max_temp,ration_percent_body_weight,whole_duration_survival_prob,days_spent_at_max_temperature,inverse_of_days_at_max_temperature,endogenous_or_exogenous
CTM,Cech,1999,PhD,loss of equilibrium,28.83,0.274647887,0,0,2.684136111,1,20,3.8,0.52,7.5,0.32,19,18,Oncorhynchus tshawytscha,fall,juvenile,hatchery,25,,American,1,NA,NA,0.546111111,0.546111111,4.915,NA,0.02275463,0,NA,0,NA,NA,exogenous
CTM,Cech,1999,PhD,loss of equilibrium,28.83,0.26056338,0,0,2.684136111,1,20,15.7,1.6,11.1,0.41,19,18,Oncorhynchus tshawytscha,fall,juvenile,hatchery,100,,American,1,NA,NA,0.546111111,0.546111111,4.915,NA,0.02275463,0,NA,0,NA,NA,exogenous
modified CTM,Geist,2010,Trans. Am. Fish. Soc.,loss of equilibrium,26.8,NA,0,0,94.08,NA,146,1.93,NA,NA,NA,10,1.5,Oncorhynchus tshawytscha,fall,juvenile,wild,0,NA,Snake,1,5.21,NA,11.2,11.2,8.4,NA,0.466666667,0,NA,0,NA,NA,exogenous
modified CTM,Geist,2010,Trans. Am. Fish. Soc.,loss of equilibrium,27,NA,0,0,75,NA,146,1.93,NA,NA,NA,12,1.5,Oncorhynchus tshawytscha,fall,juvenile,wild,0,NA,Snake,1,5.21,NA,10,10,7.5,NA,0.416666667,0,NA,0,NA,NA,exogenous
modified CTM,Geist,2010,Trans. Am. Fish. Soc.,loss of equilibrium,27.3,NA,0,0,58.96333333,NA,146,1.93,NA,NA,NA,14,1.5,Oncorhynchus tshawytscha,fall,juvenile,wild,0,NA,Snake,1,5.21,NA,8.866666667,8.866666667,6.65,NA,0.369444444,0,NA,0,NA,NA,exogenous
modified CTM,Geist,2010,Trans. Am. Fish. Soc.,first death,26.9,NA,0,0,95.20333333,NA,146,1.93,NA,NA,NA,10,1.5,Oncorhynchus tshawytscha,fall,juvenile,wild,0,NA,Snake,1,5.21,NA,11.26666667,11.26666667,8.45,NA,0.469444444,0,NA,0,NA,NA,exogenous
modified CTM,Geist,2010,Trans. Am. Fish. Soc.,first death,27.1,NA,0,0,76.00333333,NA,146,1.93,NA,NA,NA,12,1.5,Oncorhynchus tshawytscha,fall,juvenile,wild,0,NA,Snake,1,5.21,NA,10.06666667,10.06666667,7.55,NA,0.419444444,0,NA,0,NA,NA,exogenous
modified CTM,Geist,2010,Trans. Am. Fish. Soc.,first death,27.5,NA,0,0,60.75,NA,146,1.93,NA,NA,NA,14,1.5,Oncorhynchus tshawytscha,fall,juvenile,wild,0,NA,Snake,1,5.21,NA,9,9,6.75,NA,0.375,0,NA,0,NA,NA,exogenous
modified CTM,Geist,2010,Trans. Am. Fish. Soc.,50% dead,27.5,NA,0,0,102.0833333,NA,146,1.93,NA,NA,NA,10,1.5,Oncorhynchus tshawytscha,fall,juvenile,wild,0,NA,Snake,1,5.21,NA,11.66666667,11.66666667,8.75,NA,0.486111111,0,NA,0,NA,NA,exogenous
modified CTM,Geist,2010,Trans. Am. Fish. Soc.,50% dead,27.4,NA,0,0,79.05333333,NA,146,1.93,NA,NA,NA,12,1.5,Oncorhynchus tshawytscha,fall,juvenile,wild,0,NA,Snake,1,5.21,NA,10.26666667,10.26666667,7.7,NA,0.427777778,0,NA,0,NA,NA,exogenous
modified CTM,Geist,2010,Trans. Am. Fish. Soc.,50% dead,27.9,NA,0,0,64.40333333,NA,146,1.93,NA,NA,NA,14,1.5,Oncorhynchus tshawytscha,fall,juvenile,wild,0,NA,Snake,1,5.21,NA,9.266666667,9.266666667,6.95,NA,0.386111111,0,NA,0,NA,NA,exogenous
modified CTM,Geist,2010,Trans. Am. Fish. Soc.,100% dead,27.8,NA,0,0,105.6133333,NA,146,1.93,NA,NA,NA,10,1.5,Oncorhynchus tshawytscha,fall,juvenile,wild,0,NA,Snake,1,5.21,NA,11.86666667,11.86666667,8.9,NA,0.494444444,0,NA,0,NA,NA,exogenous
modified CTM,Geist,2010,Trans. Am. Fish. Soc.,100% dead,27.6,NA,0,0,81.12,NA,146,1.93,NA,NA,NA,12,1.5,Oncorhynchus tshawytscha,fall,juvenile,wild,0,NA,Snake,1,5.21,NA,10.4,10.4,7.8,NA,0.433333333,0,NA,0,NA,NA,exogenous
modified CTM,Geist,2010,Trans. Am. Fish. Soc.,100% dead,28,NA,0,0,65.33333333,NA,146,1.93,NA,NA,NA,14,1.5,Oncorhynchus tshawytscha,fall,juvenile,wild,0,NA,Snake,1,5.21,NA,9.333333333,9.333333333,7,NA,0.388888889,0,NA,0,NA,NA,exogenous
temperature rise and hold,Geist,2010,Trans. Am. Fish. Soc.,death,25,NA,75.47842314,0.754784231,1155,NA,10,3.393,NA,NA,NA,10,1.5,Oncorhynchus tshawytscha,fall,juvenile,wild,NA,NA,Snake,1,6.39,NA,10,82,14.08536585,NA,3.416666667,72,NA,0.43,3,NA,exogenous
temperature rise and hold,Geist,2010,Trans. Am. Fish. Soc.,death,25,NA,88.79040017,0.887904002,992.3333333,NA,10,3.393,NA,NA,NA,12,1.5,Oncorhynchus tshawytscha,fall,juvenile,wild,NA,NA,Snake,1,6.39,NA,8.666666667,80.66666667,12.30165289,NA,3.361111111,72,NA,0.7,3,NA,exogenous
temperature rise and hold,Geist,2010,Trans. Am. Fish. Soc.,death,25,NA,90.45041697,0.90450417,832.3333333,NA,10,3.393,NA,NA,NA,14,1.5,Oncorhynchus tshawytscha,fall,juvenile,wild,NA,NA,Snake,1,6.39,NA,7.333333333,79.33333333,10.49159664,NA,3.305555556,72,NA,0.74,3,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,27.5,NA,4.857519631,0.048575196,19.25,NA,10,1.03,0.085381497,NA,NA,24,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,5.5,5.5,3.5,330,0.229166667,5.5,NA,0.5,0.229166667,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,27,NA,21.78680756,0.217868076,32.75,NA,10,1.03,0.085381497,NA,NA,24,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,10.91666667,10.91666667,3,655,0.454861111,10.91666667,NA,0.5,0.454861111,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,26.5,NA,41.0167678,0.410167678,46.66666667,NA,10,1.03,0.085381497,NA,NA,24,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,18.66666667,18.66666667,2.5,1120,0.777777778,18.66666667,NA,0.5,0.777777778,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,26,NA,66.42674216,0.664267422,81.33333333,NA,10,1.03,0.085381497,NA,NA,24,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,40.66666667,40.66666667,2,2440,1.694444444,40.66666667,NA,0.5,1.694444444,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,25.5,NA,82.2248889,0.822248889,127.5,NA,10,1.03,0.085381497,NA,NA,24,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,85,85,1.5,5100,3.541666667,85,NA,0.5,3.541666667,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,25,NA,92.20563518,0.922056352,205,NA,10,1.03,0.085381497,NA,NA,24,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,205,205,1,12300,8.541666667,205,NA,0.5,8.541666667,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,27.5,NA,0.128858194,0.001288582,18.75,NA,10,1.03,0.085381497,NA,NA,20,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,2.5,2.5,7.5,150,0.104166667,2.5,NA,0.5,0.104166667,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,27,NA,1.430179883,0.014301799,27.41666667,NA,10,1.03,0.085381497,NA,NA,20,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,3.916666667,3.916666667,7,235,0.163194444,3.916666667,NA,0.5,0.163194444,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,26.5,NA,3.790911336,0.037909113,33.04166667,NA,10,1.03,0.085381497,NA,NA,20,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,5.083333333,5.083333333,6.5,305,0.211805556,5.083333333,NA,0.5,0.211805556,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,26,NA,50.47701945,0.504770194,146,NA,10,1.03,0.085381497,NA,NA,20,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,24.33333333,24.33333333,6,1460,1.013888889,24.33333333,NA,0.5,1.013888889,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,25.5,NA,76.63099801,0.76630998,343.75,NA,10,1.03,0.085381497,NA,NA,20,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,62.5,62.5,5.5,3750,2.604166667,62.5,NA,0.5,2.604166667,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,25,NA,91.09353421,0.910935342,891.6666667,NA,10,1.03,0.085381497,NA,NA,20,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,178.3333333,178.3333333,5,10700,7.430555556,178.3333333,NA,0.5,7.430555556,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,27,NA,0.0046256,4.6256E-05,20,NA,10,1.03,0.085381497,NA,NA,15,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,1.666666667,1.666666667,12,100,0.069444444,1.666666667,NA,0.5,0.069444444,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,26.5,NA,0.281902456,0.002819025,32.58333333,NA,10,1.03,0.085381497,NA,NA,15,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,2.833333333,2.833333333,11.5,170,0.118055556,2.833333333,NA,0.5,0.118055556,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,26,NA,3.589682359,0.035896824,55,NA,10,1.03,0.085381497,NA,NA,15,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,5,5,11,300,0.208333333,5,NA,0.5,0.208333333,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,25.5,NA,22.29182235,0.222918223,116.375,NA,10,1.03,0.085381497,NA,NA,15,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,11.08333333,11.08333333,10.5,665,0.461805556,11.08333333,NA,0.5,0.461805556,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,25,NA,67.08211124,0.670821112,416.6666667,NA,10,1.03,0.085381497,NA,NA,15,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,41.66666667,41.66666667,10,2500,1.736111111,41.66666667,NA,0.5,1.736111111,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,26.5,NA,4.61089E-07,4.61089E-09,14.3,NA,10,1.03,0.085381497,NA,NA,10,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,0.866666667,0.866666667,16.5,52,0.036111111,0.866666667,NA,0.5,0.036111111,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,26,NA,0.002735388,2.73539E-05,25.33333333,NA,10,1.03,0.085381497,NA,NA,10,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,1.583333333,1.583333333,16,95,0.065972222,1.583333333,NA,0.5,0.065972222,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,25.5,NA,0.333390468,0.003333905,45.20833333,NA,10,1.03,0.085381497,NA,NA,10,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,2.916666667,2.916666667,15.5,175,0.121527778,2.916666667,NA,0.5,0.121527778,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,25,NA,5.081832158,0.050818322,83.75,NA,10,1.03,0.085381497,NA,NA,10,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,5.583333333,5.583333333,15,335,0.232638889,5.583333333,NA,0.5,0.232638889,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,24.5,NA,22.03978137,0.220397814,159.5,NA,10,1.03,0.085381497,NA,NA,10,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,11,11,14.5,660,0.458333333,11,NA,0.5,0.458333333,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,25,NA,3.91334E-10,3.91334E-12,12.66666667,NA,10,1.03,0.085381497,NA,NA,5,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,0.633333333,0.633333333,20,38,0.026388889,0.633333333,NA,0.5,0.026388889,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,24.5,NA,9.31323E-08,9.31323E-10,15.6,NA,10,1.03,0.085381497,NA,NA,5,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,0.8,0.8,19.5,48,0.033333333,0.8,NA,0.5,0.033333333,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,24,NA,0.000166044,1.66044E-06,23.75,NA,10,1.03,0.085381497,NA,NA,5,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,1.25,1.25,19,75,0.052083333,1.25,NA,0.5,0.052083333,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,23.5,NA,0.001525879,1.52588E-05,27.75,NA,10,1.03,0.085381497,NA,NA,5,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,1.5,1.5,18.5,90,0.0625,1.5,NA,0.5,0.0625,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,23,NA,0.333390468,0.003333905,52.5,NA,10,1.03,0.085381497,NA,NA,5,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,2.916666667,2.916666667,18,175,0.121527778,2.916666667,NA,0.5,0.121527778,NA,exogenous
UILT,Brett,1952,J. FrsH. Res. Bo. Cen,death,22.5,NA,0.768153185,0.007681532,59.79166667,NA,10,1.03,0.085381497,NA,NA,5,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,NA,NA,Wash,1,4.4,0.126491106,3.416666667,3.416666667,17.5,205,0.142361111,3.416666667,NA,0.5,0.142361111,NA,exogenous
temperature rise and hold,Mesa,2002,Northwest Sci.,25% dead or disequilibrium,26,NA,4.648578218,0.046485782,56,NA,20,1.5,0.1,5.55,0.4,12,4,Oncorhynchus tshawytscha,fall run,juvenile,wild_or_hatchery,NA,NA,Columbia,1,NA,NA,3.5,5.75,9.739130435,NA,0.239583333,2.25,3.5,0.75,0.09375,10.66666667,exogenous
temperature rise and hold,Mesa,2002,Northwest Sci.,25% dead or disequilibrium,26,NA,4.648578218,0.046485782,56,NA,20,1.5,0.1,5.55,0.4,12,4,Oncorhynchus tshawytscha,fall run,juvenile,wild_or_hatchery,NA,NA,Columbia,1,NA,NA,3.5,5.75,9.739130435,NA,0.239583333,2.25,3.5,0.75,0.09375,10.66666667,exogenous
temperature rise and hold,Mesa,2002,Northwest Sci.,10-15 minutes after max temp reached,27,NA,2.77347E-24,2.77347E-26,31.25,NA,20,1.5,0.1,5.55,0.4,12,4,Oncorhynchus tshawytscha,fall run,juvenile,wild_or_hatchery,NA,NA,Columbia,1,NA,NA,3.75,3.958333333,7.894736842,NA,0.164930556,0.208333333,3.5,0.6,0.008680556,115.2,exogenous
temperature rise and hold,Mesa,2002,Northwest Sci.,10-15 minutes after max temp reached,27,NA,4.39227E-68,4.39227E-70,31.25,NA,20,1.5,0.1,5.55,0.4,12,4,Oncorhynchus tshawytscha,fall run,juvenile,wild_or_hatchery,NA,NA,Columbia,1,NA,NA,3.75,3.958333333,7.894736842,NA,0.164930556,0.208333333,3.5,0.25,0.008680556,115.2,exogenous
temperature rise and hold,Brett,1982,Can. Tech. Rep. Fish. Aquat. Sci.,time,24.8,NA,96.4170103,0.964170103,3225.6,NA,25,3.18,NA,NA,NA,20,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,105,NA,Big Qualicum River Hatchery,1,NA,NA,NA,720,4.48,NA,30,672,NA,0.36,28,0.035714286,exogenous
temperature rise and hold,Brett,1982,Can. Tech. Rep. Fish. Aquat. Sci.,time,23.9,NA,100,1,2620.8,NA,25,3.21,NA,NA,NA,20,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,105,NA,Big Qualicum River Hatchery,1,NA,NA,NA,720,3.64,NA,30,672,NA,1,28,0.035714286,exogenous
temperature rise and hold,Brett,1982,Can. Tech. Rep. Fish. Aquat. Sci.,time,24,NA,100,1,2688,NA,25,3.43,NA,NA,NA,20,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,105,NA,Big Qualicum River Hatchery,1,NA,NA,NA,720,3.733333333,NA,30,672,NA,1,28,0.035714286,exogenous
temperature rise and hold,Brett,1982,Can. Tech. Rep. Fish. Aquat. Sci.,time,23,NA,100,1,2016,NA,25,3.16,NA,NA,NA,20,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,105,NA,Big Qualicum River Hatchery,1,NA,NA,NA,720,2.8,NA,30,672,NA,1,28,0.035714286,exogenous
temperature rise and hold,Brett,1982,Can. Tech. Rep. Fish. Aquat. Sci.,time,22,NA,100,1,1344,NA,25,3.34,NA,NA,NA,20,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,105,NA,Big Qualicum River Hatchery,1,NA,NA,NA,720,1.866666667,NA,30,672,NA,1,28,0.035714286,exogenous
temperature rise and hold,Brett,1982,Can. Tech. Rep. Fish. Aquat. Sci.,time,21.8,NA,100,1,1209.6,NA,25,3.34,NA,NA,NA,20,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,105,NA,Big Qualicum River Hatchery,1,NA,NA,NA,720,1.68,NA,30,672,NA,1,28,0.035714286,exogenous
temperature rise and hold,Brett,1982,Can. Tech. Rep. Fish. Aquat. Sci.,time,20.9,NA,100,1,604.8,NA,25,3.35,NA,NA,NA,20,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,105,NA,Big Qualicum River Hatchery,1,NA,NA,NA,720,0.84,NA,30,672,NA,1,28,0.035714286,exogenous
temperature rise and hold,Brett,1982,Can. Tech. Rep. Fish. Aquat. Sci.,time,19.9,NA,100,1,-67.2,NA,25,3.24,NA,NA,NA,20,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,105,NA,Big Qualicum River Hatchery,1,NA,NA,NA,720,-0.093333333,NA,30,672,NA,1,28,0.035714286,exogenous
temperature rise and hold,Brett,1982,Can. Tech. Rep. Fish. Aquat. Sci.,time,19.9,NA,100,1,-67.2,NA,25,3.14,NA,NA,NA,20,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,105,NA,Big Qualicum River Hatchery,1,NA,NA,NA,720,-0.093333333,NA,30,672,NA,1,28,0.035714286,exogenous
temperature rise and hold,Brett,1982,Can. Tech. Rep. Fish. Aquat. Sci.,time,19,NA,100,1,-672,NA,25,3.3,NA,NA,NA,20,NA,Oncorhynchus tshawytscha,NA,juvenile,hatchery,105,NA,Big Qualicum River Hatchery,1,NA,NA,NA,720,-0.933333333,NA,30,672,NA,1,28,0.035714286,exogenous
