target_temp_type,author,year,journal,endpoint,target_temp_degrees_C,se_target_temp_degrees_c,daily_survival_percent,daily_survival_prob,accumulated_degree_hours_above_acc_temp,swimspeed_bodylengths_per_second,n,mass_g,se_mass_g,total_length_cm,se_total_length_cm,acclimation_temp_C,temp_increase_rate_degreesC_per_hour,species,run,life_stage,wild_or_hatchery,ration_percent_of_satiation,salinity (g/liter),river of origin,data_quality,fork_length_cm,se_fork_length_cm,hours spent increasing temp,total_duration_hours,degree_hours_per_hour,median_resistance_time_minutes,total_duration_days,hours_spent_at_max_temp,ration_percent_body_weight,whole_duration_survival_prob,days_spent_at_max_temperature,inverse_of_days_at_max_temperature,whole_duration_deformity_prob,time_at_50_percent_hatch_hours,estimated_time_of_100_percent_hatch_hours,daily_deformity_prob,endogenous_or_exogenous
CTM,Sardella,2008,"	J. Exp. Zool.",cessation of ventilation,33.7,0.08,0,0,6.846944444,-9999,6,58.4,2.5,-9999,-9999,18,18,Acipenser medirostris,,juvenile,hatchery,-9999,0.5,NA,1,-9999,-9999,0.872222222,0.872222222,7.85,-9999,0.036342593,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,exogenous
CTM,Sardella,2008,"	J. Exp. Zool.",cessation of ventilation,34.2,0.09,0,0,7.29,-9999,6,58.4,2.5,-9999,-9999,18,18,Acipenser medirostris,,juvenile,hatchery,-9999,10,NA,1,-9999,-9999,0.9,0.9,8.1,-9999,0.0375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,exogenous
CTM,Sardella,2008,"	J. Exp. Zool.",cessation of ventilation,33.7,0.1,0,0,6.846944444,-9999,6,58.4,2.5,-9999,-9999,18,18,Acipenser medirostris,,juvenile,hatchery,-9999,24,NA,1,-9999,-9999,0.872222222,0.872222222,7.85,-9999,0.036342593,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,exogenous
CTM,Verhille,2015,Environ. Biol. Fish,cessation of ventilation,34.5,0.2,0,0,6.890625,-9999,7,56.2,0.4,-9999,-9999,18.75,18,Acipenser medirostris,NA,juvenile,hatchery,12.5,-9999,Klamath,1,-9999,-9999,0.875,0.875,7.875,-9999,0.036458333,0,0.25,0,0,-9999,-9999,-9999,-9999,-9999,exogenous
CTM,Verhille,2015,Environ. Biol. Fish,cessation of ventilation,34.5,0.2,0,0,6.890625,-9999,7,62.1,0.3,-9999,-9999,18.75,18,Acipenser medirostris,NA,juvenile,hatchery,25,-9999,Klamath,1,-9999,-9999,0.875,0.875,7.875,-9999,0.036458333,0,0.5,0,0,-9999,-9999,-9999,-9999,-9999,exogenous
CTM,Verhille,2015,Environ. Biol. Fish,cessation of ventilation,34.4,0.1,0,0,6.803402778,-9999,7,72.8,0.7,-9999,-9999,18.75,18,Acipenser medirostris,NA,juvenile,hatchery,50,-9999,Klamath,1,-9999,-9999,0.869444444,0.869444444,7.825,-9999,0.036226852,0,1,0,0,-9999,-9999,-9999,-9999,-9999,exogenous
CTM,Verhille,2015,Environ. Biol. Fish,cessation of ventilation,34.1,0.1,0,0,6.545069444,-9999,7,89.7,2.2,-9999,-9999,18.75,18,Acipenser medirostris,NA,juvenile,hatchery,100,-9999,Klamath,1,-9999,-9999,0.852777778,0.852777778,7.675,-9999,0.035532407,0,2,0,0,-9999,-9999,-9999,-9999,-9999,exogenous
temperature rise and hold,Allen,2006,Can. J. Fish. Aquat. Sci.,NA,24,-9999,100,1,300,1.450140056,11,203.6,19,35.7,1.2,19,0.041666667,Acipenser medirostris,NA,juvenile,wild,-9999,-9999,Klamath,1,32.69230769,1.098901099,120,750,0.4,-9999,31.25,630,-9999,100,26.25,0.038095238,-9999,-9999,-9999,-9999,exogenous
CTM,Rodgers,2018,J. Therm. Biol.,loss of equilibirum,29.28828829,-9999,0,0,5.670977284,-9999,1,5.6,1.5,-9999,-9999,15,18,Acipenser Medirostris,NA,juvenile,wild,-9999,-9999,Klamath,1,-9999,-9999,0.793793794,73.79379379,7.144144144,-9999,3.074741408,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,exogenous
CTM,Rodgers,2018,J. Therm. Biol.,loss of equilibirum,30.0990991,-9999,0,0,6.332855378,-9999,1,5.6,1.5,-9999,-9999,15,18,Acipenser Medirostris,NA,juvenile,wild,-9999,-9999,Klamath,1,-9999,-9999,0.838838839,73.83883884,7.54954955,-9999,3.076618285,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,exogenous
CTM,Rodgers,2018,J. Therm. Biol.,loss of equilibirum,30.0990991,-9999,0,0,6.332855378,-9999,1,5.6,1.5,-9999,-9999,15,18,Acipenser Medirostris,NA,juvenile,wild,-9999,-9999,Klamath,1,-9999,-9999,0.838838839,73.83883884,7.54954955,-9999,3.076618285,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,exogenous
CTM,Rodgers,2018,J. Therm. Biol.,loss of equilibirum,30.16666667,-9999,0,0,6.389660494,-9999,1,5.6,1.5,-9999,-9999,15,18,Acipenser Medirostris,NA,juvenile,wild,-9999,-9999,Klamath,1,-9999,-9999,0.842592593,73.84259259,7.583333333,-9999,3.076774691,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,exogenous
CTM,Rodgers,2018,J. Therm. Biol.,loss of equilibirum,30.39189189,-9999,0,0,6.580842667,-9999,1,5.6,1.5,-9999,-9999,15,18,Acipenser Medirostris,NA,juvenile,wild,-9999,-9999,Klamath,1,-9999,-9999,0.855105105,73.85510511,7.695945946,-9999,3.077296046,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,exogenous
