target_temp_type,author,year,journal,endpoint,target_temp_degrees_C,se_target_temp_degrees_c,daily_survival_percent,daily_survival_prob,accumulated_degree_hours_above_acc_temp,swimspeed_bodylengths_per_second,n,mass_g,se_mass_g,standard_length_cm,se_standard_length_cm,acclimation_temp_C,temp_increase_rate_degreesC_per_hour,species,run,life_stage,wild_or_hatchery,ration_percent_of_satiation,salinity (g/liter),river_of_origin,data_quality,fork_length_cm,se_fork_length_cm,hours spent increasing temp,total_duration_hours,degree_hours_per_hour,median_resistance_time_minutes,total_duration_days,hours_spent_at_max_temp,ration_percent_body_weight,whole_duration_survival_prob,days_spent_at_max_temperature,inverse_of_days_at_max_temperature,rounded_temp,fork_length_mm,year_caught,minutes_spent_at_max_temp,subspecies,population_location,endogenous_or_exogenous,total_length_cm,
CTM,Cech,1999,PhD,loss of equilibrium,27.5,0.17,0,0,7.5625,1,8,8,1.6,7.83,0.472,11,18,Oncorhynchus mykiss,winter,juvenile,hatchery,100,NA,American,1,NA,NA,0.916666667,0.916666667,8.25,NA,0.038194444,0,NA,0,NA,NA,27.5,NA,NA,NA,steelhead,central CA,exogenous,NA,
CTM,Cech,1999,PhD,loss of equilibrium,27.8,0.11,0,0,7.84,1,10,7.5,1.15,7.65,0.376,11,18,Oncorhynchus mykiss,winter,juvenile,hatchery,87,NA,American,1,NA,NA,0.933333333,0.933333333,8.4,NA,0.038888889,0,NA,0,NA,NA,27.8,NA,NA,NA,steelhead,central CA,exogenous,NA,
CTM,Cech,1999,PhD,loss of equilibrium,28.4,0.33,0,0,4.987777778,1,9,9.4,1.81,8.26,0.482,15,18,Oncorhynchus mykiss,winter,juvenile,hatchery,100,NA,American,1,NA,NA,0.744444444,0.744444444,6.7,NA,0.031018519,0,NA,0,NA,NA,28.4,NA,NA,NA,steelhead,central CA,exogenous,NA,
CTM,Cech,1999,PhD,loss of equilibrium,29.4,0.28,0,0,5.76,1,10,6.7,1.39,7.6,0.496,15,18,Oncorhynchus mykiss,winter,juvenile,hatchery,87,NA,American,1,NA,NA,0.8,0.8,7.2,NA,0.033333333,0,NA,0,NA,NA,29.4,NA,NA,NA,steelhead,central CA,exogenous,NA,
CTM,Cech,1999,PhD,loss of equilibrium,29.6,0.33,0,0,3.121111111,1,10,14.3,2.91,8.91,0.562,19,18,Oncorhynchus mykiss,winter,juvenile,hatchery,100,NA,American,1,NA,NA,0.588888889,0.588888889,5.3,NA,0.024537037,0,NA,0,NA,NA,29.6,NA,NA,NA,steelhead,central CA,exogenous,NA,
CTM,Cech,1999,PhD,loss of equilibrium,29.9,0.25,0,0,3.300277778,1,10,6.9,1.53,7.27,0.424,19,18,Oncorhynchus mykiss,winter,juvenile,hatchery,87,NA,American,1,NA,NA,0.605555556,0.605555556,5.45,NA,0.025231481,0,NA,0,NA,NA,29.9,NA,NA,NA,steelhead,central CA,exogenous,NA,
UILT,Coutant,1970,Trans. Am. Fish. Soc.,loss of equilibrium or death,22.01057089,NA,78.06025553,0.780602555,336.5246878,NA,10,4011,333.9365209,NA,NA,17,NA,Onchorhyncus mykiss,summer/early fall,adult,wild,NA,NA,Columbia,1,63.9,1.77087549,NA,67.16294309,5.010570894,4029.776585,2.798455962,67.16294309,NA,0.5,2.798455962,0.357339909,22,639,1969,4029.776585,steelhead,WA,exogenous,NA,
UILT,Coutant,1970,Trans. Am. Fish. Soc.,loss of equilibrium or death,23.00500562,NA,0,0,243.7405811,NA,7,4322,509.4961096,NA,NA,17,NA,Onchorhyncus mykiss,summer/early fall,adult,wild,NA,NA,Columbia,3,72.5,3.212698021,NA,40.58956755,6.005005617,2435.374053,1.691231981,40.58956755,NA,0,1.691231981,0.59128494,23,725,1969,2435.374053,steelhead,WA,exogenous,NA,
UILT,Coutant,1970,Trans. Am. Fish. Soc.,loss of equilibrium or death,24.0060454,NA,0,0,167.7913563,NA,8,5117,502.7529214,NA,NA,17,NA,Onchorhyncus mykiss,summer/early fall,adult,wild,NA,NA,Columbia,1,75.2,2.61629509,NA,23.94951029,7.006045395,1436.970617,0.997896262,23.94951029,NA,0,0.997896262,1.002108173,24,752,1969,1436.970617,steelhead,WA,exogenous,NA,
UILT,Coutant,1970,Trans. Am. Fish. Soc.,loss of equilibrium or death,25.95906303,NA,0,0,24.43411998,NA,10,4722,224.5217139,NA,NA,17,NA,Onchorhyncus mykiss,summer/early fall,adult,wild,NA,NA,Columbia,1,76,1.517893277,NA,2.727307521,8.959063029,163.6384513,0.113637813,2.727307521,NA,0,0.113637813,8.799887734,26,760,1969,163.6384513,steelhead,WA,exogenous,NA,
