year,author,journal,n,temperature_C,species,life stage,territory_square_m,local_density_number_per_sq_m,food_abundance_g _per_d,food_abundance_g _per_d_per_m2,flow_m_per_s,depth_m,mass_g,sd_mass_g,pre_experiment_ration_g,FL_cm,sd_FL_cm,se_FL_cm,FL_mm,hatchery_or_wild,data_quality,river_of_origin,source
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.021974039,49.14119053,,NA,0.054,0.108,0.35,0.05,5,4.60374556,NA,NA,46.0374556,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.031698431,31.3500209,2.915676788,8.099102188,0.054,0.108,0.35,0.05,5,4.551012337,NA,NA,45.51012337,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.022524843,35.97987016,,NA,0.054,0.108,0.35,0.05,5,4.510003183,NA,NA,45.10003183,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.039806601,17.74514377,0.186084034,0.516900095,0.054,0.108,0.35,0.05,5,4.510003183,NA,NA,45.10003183,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.02732288,37.03852182,2.897783489,8.04939858,0.054,0.108,0.35,0.05,5,4.502586773,NA,NA,45.02586773,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.031076798,35.20578652,0.734323663,2.039787951,0.054,0.108,0.35,0.05,5,4.338904136,NA,NA,43.38904136,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.019129312,61.97237024,2.915676788,8.099102188,0.054,0.108,0.35,0.05,5,4.257555789,NA,NA,42.57555789,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.018115286,29.79876327,0.370796,1.029988889,0.054,0.108,0.35,0.05,5,4.215720449,NA,NA,42.15720449,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.019319688,70.10077783,1.472268082,4.089633561,0.054,0.108,0.35,0.05,5,4.082573757,NA,NA,40.82573757,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.020502396,21.58188568,0.734323663,2.039787951,0.054,0.108,0.35,0.05,5,4.042457815,NA,NA,40.42457815,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.045953228,25.96429189,2.897783489,8.04939858,0.054,0.108,0.35,0.05,5,4.035810253,NA,NA,40.35810253,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.020912508,33.58525989,1.472268082,4.089633561,0.054,0.108,0.35,0.05,5,4.025859402,NA,NA,40.25859402,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.028709805,24.5012575,0.370796,1.029988889,0.054,0.108,0.35,0.05,5,3.976471964,NA,NA,39.76471964,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.013933982,33.34265661,0.186084034,0.516900095,0.054,0.108,0.35,0.05,5,3.947130793,NA,NA,39.47130793,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.028007758,20.73827186,0.186084034,0.516900095,0.054,0.108,0.35,0.05,5,3.947130793,NA,NA,39.47130793,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.029284091,21.81786037,0.186084034,0.516900095,0.054,0.108,0.35,0.05,5,3.934159862,NA,NA,39.34159862,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.019415585,72.16338406,0.370796,1.029988889,0.054,0.108,0.35,0.05,5,3.927690389,NA,NA,39.27690389,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.032979251,14.69664387,0.093962947,0.261008187,0.054,0.108,0.35,0.05,5,3.927690389,NA,NA,39.27690389,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.021757507,29.79876327,1.472268082,4.089633561,0.054,0.108,0.35,0.05,5,3.918006122,NA,NA,39.18006122,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.021436704,30.34376902,0.093962947,0.261008187,0.054,0.108,0.35,0.05,5,3.895502256,NA,NA,38.95502256,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.020809218,28.63396011,,NA,0.054,0.108,0.35,0.05,5,3.885897353,NA,NA,38.85897353,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.027731771,18.60136696,0.734323663,2.039787951,0.054,0.108,0.35,0.05,5,3.788022835,NA,NA,37.88022835,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.034653296,29.15766214,0.186084034,0.516900095,0.054,0.108,0.35,0.05,5,3.772469136,NA,NA,37.72469136,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.028007758,53.802455,0.093962947,0.261008187,0.054,0.108,0.35,0.05,5,3.756979302,NA,NA,37.56979302,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.022975411,15.63077586,,NA,0.054,0.108,0.35,0.05,5,3.750801191,NA,NA,37.50801191,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.0144254,54.39072694,0.093962947,0.261008187,0.054,0.108,0.35,0.05,5,3.707837949,NA,NA,37.07837949,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.020912508,72.95241299,0.093962947,0.261008187,0.054,0.108,0.35,0.05,5,3.698695759,NA,NA,36.98695759,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.022302884,27.51468791,2.915676788,8.099102188,0.054,0.108,0.35,0.05,5,3.665366826,NA,NA,36.65366826,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.016326282,72.42544091,2.915676788,8.099102188,0.054,0.108,0.35,0.05,5,3.659339366,NA,NA,36.59339366,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.020912508,38.12832265,0.370796,1.029988889,0.054,0.108,0.35,0.05,5,3.641316392,NA,NA,36.41316392,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.014072653,34.95147737,0.093962947,0.261008187,0.054,0.108,0.35,0.05,5,3.608504505,NA,NA,36.08504505,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.015384478,33.34265661,0.734323663,2.039787951,0.054,0.108,0.35,0.05,5,3.578932157,NA,NA,35.78932157,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.013326676,78.72253187,0.186084034,0.516900095,0.054,0.108,0.35,0.05,5,3.500291748,NA,NA,35.00291748,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.013130181,83.72620727,0.370796,1.029988889,0.054,0.108,0.35,0.05,5,3.375822367,NA,NA,33.75822367,offspring of wild,1,Chilliwack River,Imre et al. 2004
2004,Imre et al.,Oecologia,4,12.8,Oncorhyncus mykiss,juvenile,0.022083112,86.50271316,,NA,0.054,0.108,0.35,0.05,5,NA,NA,NA,NA0,offspring of wild,1,Chilliwack River,Imre et al. 2004
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.029803551,2.785,0.003932602,0.113988451,NA,NA,0.315069951,NA,NA,3.101983967,NA,NA,0.310198397,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.062155444,2.785,0.004501417,0.130475841,NA,NA,0.314643187,NA,NA,3.099887999,NA,NA,0.3099888,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.06291252,2.785,0.048941575,1.418596376,NA,NA,0.416679237,NA,NA,3.401750498,NA,NA,0.34017505,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.078432201,2.785,0.14944571,4.331759723,NA,NA,0.586004663,NA,NA,3.811998496,NA,NA,0.38119985,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.082938097,2.785,0.37393993,10.83883855,NA,NA,1.792884701,NA,NA,5.504829541,NA,NA,0.550482954,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.087333505,2.785,0.170932064,4.954552587,NA,NA,1.048162135,NA,NA,4.609668703,NA,NA,0.46096687,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.089560875,2.785,0.01969917,0.570990421,NA,NA,0.585476935,NA,NA,3.795447762,NA,NA,0.379544776,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.103753931,2.785,0.256097482,7.423115425,NA,NA,2.224194707,NA,NA,5.913539695,NA,NA,0.591353969,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.108577138,2.785,0.130335368,3.777836744,NA,NA,2.205809309,NA,NA,5.913289885,NA,NA,0.591328988,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.11276462,2.785,0.019009354,0.55099578,NA,NA,0.43688494,NA,NA,3.457870428,NA,NA,0.345787043,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.127416446,2.785,0.556522109,16.13107562,NA,NA,0.635065388,NA,NA,3.908093962,NA,NA,0.390809396,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.131207485,2.785,0.551835895,15.99524334,NA,NA,0.417552831,NA,NA,3.399451983,NA,NA,0.339945198,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.135776111,2.785,0.016457514,0.477029403,NA,NA,0.453895193,NA,NA,3.516203308,NA,NA,0.351620331,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.14055305,2.785,0.756150165,21.9173961,NA,NA,0.495350402,NA,NA,3.606314559,NA,NA,0.360631456,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.147604252,2.785,0.047631656,1.38062772,NA,NA,0.453319266,NA,NA,3.501084741,NA,NA,0.350108474,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.150686823,2.785,0.825009742,23.91332586,NA,NA,4.576298656,NA,NA,7.489204932,NA,NA,0.748920493,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.152745519,2.785,0.012115335,0.351169131,NA,NA,0.494636904,NA,NA,3.606060655,NA,NA,0.360606065,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.157075146,2.785,0.525897809,15.24341476,NA,NA,4.551878357,NA,NA,7.488994016,NA,NA,0.748899402,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.185310382,2.785,1.263289242,36.61707949,NA,NA,0.537450232,NA,NA,3.713661171,NA,NA,0.371366117,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.189121572,2.785,0.863111947,25.01773759,NA,NA,4.199602006,NA,NA,7.300221003,NA,NA,0.7300221,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.20242441,2.785,0.516590677,14.97364283,NA,NA,4.043352722,NA,NA,7.207880187,NA,NA,0.720788019,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.2139249,2.785,0.105000527,3.043493544,NA,NA,2.217288919,NA,NA,5.909627214,NA,NA,0.590962721,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.228515805,2.785,0.107041695,3.102657828,NA,NA,0.851459195,NA,NA,4.304570633,NA,NA,0.430457063,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.235457885,2.785,0.420033434,12.17488213,NA,NA,3.406741612,NA,NA,6.79299245,NA,NA,0.679299245,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.243788769,2.785,0.027719554,0.803465345,NA,NA,0.976795309,NA,NA,4.509066716,NA,NA,0.450906672,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.248177404,2.785,1.215885703,35.24306386,NA,NA,2.970418284,NA,NA,6.511726668,NA,NA,0.651172667,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.252097892,2.785,0.467919187,13.562875,NA,NA,3.699212811,NA,NA,6.996475305,NA,NA,0.69964753,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.268870711,2.785,0.03834499,1.111448972,NA,NA,0.793924725,NA,NA,4.214008155,NA,NA,0.421400815,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.27513011,2.785,0.618546327,17.92887905,NA,NA,4.040517582,NA,NA,7.20585051,NA,NA,0.720585051,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.281490516,2.785,0.861311615,24.96555407,NA,NA,20.86238759,NA,NA,12.37416499,NA,NA,1.237416499,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.284636079,2.785,1.351435959,39.17205679,NA,NA,18.42054591,NA,NA,11.86214325,NA,NA,1.186214325,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.284736903,2.785,1.022018019,29.6237107,NA,NA,21.41879011,NA,NA,12.47898065,NA,NA,1.247898065,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.318221337,2.785,1.119780519,32.45740634,NA,NA,7.914201287,NA,NA,9.012957191,NA,NA,0.901295719,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.325152486,2.785,0.642422764,18.62094969,NA,NA,0.975838459,NA,NA,4.526944063,NA,NA,0.452694406,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.332421413,2.785,0.293534174,8.508236932,NA,NA,0.789510575,NA,NA,4.231013552,NA,NA,0.423101355,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.381202302,2.785,1.595366779,46.24251534,NA,NA,0.974619545,NA,NA,4.507225747,NA,NA,0.450722575,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.386396847,2.785,0.268417274,7.780210838,NA,NA,0.496571528,NA,NA,3.618268216,NA,NA,0.361826822,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.409794202,2.785,1.005640532,29.14900092,NA,NA,5.156751822,NA,NA,7.80521422,NA,NA,0.780521422,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.458369858,2.785,0.613319606,17.77737989,NA,NA,2.709762978,NA,NA,6.318426024,NA,NA,0.631842602,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.55281963,2.785,0.366722094,10.62962592,NA,NA,5.555030226,NA,NA,8.003438377,NA,NA,0.800343838,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.633794615,2.785,2.297631784,66.59802272,NA,NA,30.10324012,NA,NA,13.97665033,NA,NA,1.397665033,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.648967851,2.785,0.219331119,6.357423733,NA,NA,9.344353334,NA,NA,9.475495738,NA,NA,0.947549574,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.767139575,2.785,0.960311133,27.8351053,NA,NA,11.88150714,NA,NA,10.30927002,NA,NA,1.030927002,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,0.926212593,2.785,0.846999439,24.55070837,NA,NA,7.926552793,NA,NA,9.00420421,NA,NA,0.900420421,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,1.484331271,2.785,1.3761828,39.88935654,NA,NA,16.61587191,NA,NA,11.49916129,NA,NA,1.149916129,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,1.730621297,2.785,0.529206367,15.33931498,NA,NA,37.24186634,NA,NA,15.06688228,NA,NA,1.506688228,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,2.353088234,2.785,4.431977853,128.4631262,NA,NA,43.42599583,NA,NA,15.8459044,NA,NA,1.58459044,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,3.36295504,2.785,0.822170118,23.8310179,NA,NA,64.77601475,NA,NA,18.05722062,NA,NA,1.805722062,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,3.451664344,2.785,3.505859366,101.6191121,NA,NA,52.75310821,NA,NA,16.80542169,NA,NA,1.680542169,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
1998,Keely and McPhail,Behaviour,1,NA,Oncorhynchus mykiss,juvenile,NA,2.785,0.010777334,0.312386487,NA,NA,0.47786847,NA,NA,NA,NA,NA,NA,wild,1,Chilliwack/Salmon,Keely and McPhail 1998
