year,parameter,parameter methods,author,journal,n,swimspeed_cm_persecond,sd_swimspeed_cm_persecond,se_swimspeed_cm_persecond,swimspeed_BL,sd_swimspeed_BL,se_swimspeed_BL,temperature_C,species,race,life stage,notes,mass_g,sd_mass_g,se_mass_g,SL_cm,sd_SL,se_SL,TL_cm,sd_TL,se_TL,ration_percent,FL_cm,sd_FL_cm,se_FL_cm,FL_mm,hatchery_or_wild,data_quality,max_mr_mg_o2_per_hour,max_vO2_umol_per_min_per_kg,fish_ID,tag,specific_fishID
1999,Ucrit,"Steelhead and chinook salmon aerobic swimming performance was assessed by measuring thereplicates per steelhead treatment; 11 to 15 replicates per chinook salmon treatment) in a
152-L Brett-type swimming flume (modified from Bell and Terhune's 1970 design). Fatigue
was taken as the point where the fish would not move off the rear screen of the swimming
flume, even after reductions in current velocity and gentle prodding with a nylon rod. We
used a short lO-min interval and a 1 BL s' velocity increment because we were solely
concerned with a comparative measure of swimming performance (Hammer 1995). We
accounted for fish size differences by dividing the Dcrit by the TL, giving the length-specific
Ucrit in BL s"". Differences among steelhead critical swimming velocities and morphometries
(fish length and weight) were detected using ANOV A. Student's t-tests were used to detect
differences among chinook salmon mean treatment Ucrit and morphometric values
critical swimming velocity (Uent) (Brett 1964) of individual 24-h-fasted fish (7 to 10",Myrick and Cech,UC Berkeley Technical Report,15,61,NA,0.02,5.495495495,NA,0.001801802,19,Oncorhynchus tshawytscha,Nimbus strain,juvenile,normal ration,15.7,NA,1.6,NA,NA,NA,11.1,NA,0.41,100,NA,NA,NA,NA,hatchery,1,,,1,Myri,1Myri
1999,Ucrit,"Steelhead and chinook salmon aerobic swimming performance was assessed by measuring thereplicates per steelhead treatment; 11 to 15 replicates per chinook salmon treatment) in a
152-L Brett-type swimming flume (modified from Bell and Terhune's 1970 design). Fatigue
was taken as the point where the fish would not move off the rear screen of the swimming
flume, even after reductions in current velocity and gentle prodding with a nylon rod. We
used a short lO-min interval and a 1 BL s' velocity increment because we were solely
concerned with a comparative measure of swimming performance (Hammer 1995). We
accounted for fish size differences by dividing the Dcrit by the TL, giving the length-specific
Ucrit in BL s"". Differences among steelhead critical swimming velocities and morphometries
(fish length and weight) were detected using ANOV A. Student's t-tests were used to detect
differences among chinook salmon mean treatment Ucrit and morphometric values
critical swimming velocity (Uent) (Brett 1964) of individual 24-h-fasted fish (7 to 10",Myrick and Cech,UC Berkeley Technical Report,11,51,NA,0.02,6.8,NA,0.002666667,19,Oncorhynchus tshawytscha,Nimbus strain,juvenile,lower ration,3.8,NA,0.52,NA,NA,NA,7.5,NA,0.32,25,NA,NA,NA,NA,hatchery,1,,,2,Myri,2Myri
2003,Ucrit,see README,Geist et al.,J. Fish Biol.,9,140.2,16.9,5.633333333,1.856953642,0.22384106,0.074613687,12.5,Oncorhyncus tshawytscha,NA,adult,CRRL,5100,600,200,NA,NA,NA,78.067,3.8258,1.275266667,NA,75.5,3.7,1.233333333,755,hatchery,1,NA,,1,Geis,1Geis
2003,Ucrit,see README,Geist et al.,J. Fish Biol.,22,164.8,18.6,3.965533324,2.182781457,0.246357616,0.05252362,12.5,Oncorhyncus tshawytscha,NA,adult,PNNL,5100,600,127.9204298,NA,NA,NA,78.067,3.8258,0.815663301,NA,75.5,3.7,0.788842651,755,hatchery,1,NA,,2,Geis,2Geis
1993,Ucrit,see README,Thorarensen et al.,J. Exp. Biol.,10,85.5,6.008327554,1.9,2.821782178,0.198294639,0.062706271,10,Oncorhyncus tshawytscha,,adult,LS,368,151,30.2,NA,NA,NA,30.3,1.7,0.34,100,29.30367505,1.64410058,0.328820116,293.0367505,hatchery,1,204.9024,290,1,Thor,1Thor
1993,Ucrit,see README,Thorarensen et al.,J. Exp. Biol.,10,87.5,6.957010852,2.2,2.906976744,0.231129929,0.073089701,10,Oncorhyncus tshawytscha,,adult,HS,362,72.86295355,15.9,NA,NA,NA,30.1,1.64972725,0.36,100,29.11025145,1.5954809,0.348162476,291.1025145,hatchery,1,222.343296,319.9,2,Thor,2Thor
2006,Ucrit,See README,Thorarensen and Farrell,Physiol. and Biochem. Zool.,11,74.6,8.623224455,2.6,2.2,0.331662479,0.1,9.5,Oncorhyncus tshawytscha,,adult,fasted,520,99.49874371,30,NA,NA,NA,33.7,,0.5,fasted,32.5879,NA,NA,NA,hatchery,1,254.592,255,3,Thor,3Thor
2006,Ucrit,See README,Thorarensen and Farrell,Physiol. and Biochem. Zool.,11,73.4,12.27151172,3.7,2.2,0.331662479,0.1,9.5,Oncorhyncus tshawytscha,,adult,63 post prandial,520,99.49874371,30,NA,NA,NA,33.7,,0.5,fasted,32.5879,NA,NA,NA,hatchery,1,265.5744,266,4,Thor,4Thor
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,47.836327,,NA,6.5159679,NA,NA,13.5,Oncorhyncus tshawytscha,,,see fishtag for river or lab treatment,NA,NA,NA,NA,NA,NA,7.3414,NA,NA,NA,NA,NA,NA,NA,hatchery,1,NA,NA,10,Lehm,10in_lab
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,48.429538,,NA,6.5967715,NA,NA,15.4,Oncorhyncus tshawytscha,,,see fishtag for river or lab treatment,NA,NA,NA,NA,NA,NA,7.3414,NA,NA,NA,NA,NA,NA,NA,hatchery,1,NA,NA,10,Lehm,10in_river
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,65.103794,,NA,8.3950733,NA,NA,13.93333,Oncorhyncus tshawytscha,,,see fishtag for river or lab treatment,NA,NA,NA,NA,NA,NA,7.755,NA,NA,NA,NA,NA,NA,NA,hatchery,1,NA,NA,11,Lehm,11in_lab
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,45.048209,,NA,5.8089244,NA,NA,14.1,Oncorhyncus tshawytscha,,,see fishtag for river or lab treatment,NA,NA,NA,NA,NA,NA,7.755,NA,NA,NA,NA,NA,NA,NA,hatchery,1,NA,NA,11,Lehm,11in_river
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,46.693441,,NA,6.2719537,NA,NA,14.36667,Oncorhyncus tshawytscha,,,see fishtag for river or lab treatment,NA,NA,NA,NA,NA,NA,7.4448,NA,NA,NA,NA,NA,NA,NA,hatchery,1,NA,NA,12,Lehm,12in_lab
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,52.536092,,NA,7.05675,NA,NA,14.26667,Oncorhyncus tshawytscha,,,see fishtag for river or lab treatment,NA,NA,NA,NA,NA,NA,7.4448,NA,NA,NA,NA,NA,NA,NA,hatchery,1,NA,NA,12,Lehm,12in_river
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,63.57634,,NA,7.498271,NA,NA,15.36667,Oncorhyncus tshawytscha,,,see fishtag for river or lab treatment,NA,NA,NA,NA,NA,NA,8.4788,NA,NA,NA,NA,NA,NA,NA,hatchery,1,NA,NA,13,Lehm,13in_lab
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,66.466864,,NA,7.8391829,NA,NA,15.16667,Oncorhyncus tshawytscha,,,see fishtag for river or lab treatment,NA,NA,NA,NA,NA,NA,8.4788,NA,NA,NA,NA,NA,NA,NA,hatchery,1,NA,NA,13,Lehm,13in_river
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,54.576628,,NA,7.43409,NA,NA,13.76667,Oncorhyncus tshawytscha,,,see fishtag for river or lab treatment,NA,NA,NA,NA,NA,NA,7.3414,NA,NA,NA,NA,NA,NA,NA,hatchery,1,NA,NA,14,Lehm,14in_lab
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,59.937602,,NA,8.0509352,NA,NA,18.9,Oncorhyncus tshawytscha,,,see fishtag for river or lab treatment,NA,NA,NA,NA,NA,NA,7.4448,NA,NA,NA,NA,NA,NA,NA,hatchery,1,NA,NA,14,Lehm,14in_river
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,67.77901,,NA,7.7118,NA,NA,14.13333,Oncorhyncus tshawytscha,,,see fishtag for river or lab treatment,NA,NA,NA,NA,NA,NA,8.789,NA,NA,NA,NA,NA,NA,NA,hatchery,1,NA,NA,15,Lehm,15in_lab
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,68.246424,,NA,7.6746912,NA,NA,18.23333,Oncorhyncus tshawytscha,,,see fishtag for river or lab treatment,NA,NA,NA,NA,NA,NA,8.8924,NA,NA,NA,NA,NA,NA,NA,hatchery,1,NA,NA,15,Lehm,15in_river
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,69.56729,,NA,8.4099722,NA,NA,14.5,Oncorhyncus tshawytscha,,,see fishtag for river or lab treatment,NA,NA,NA,NA,NA,NA,8.272,NA,NA,NA,NA,NA,NA,NA,hatchery,1,NA,NA,16,Lehm,16in_lab
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,68.685811,,NA,8.3034104,NA,NA,18.2,Oncorhyncus tshawytscha,,,see fishtag for river or lab treatment,NA,NA,NA,NA,NA,NA,8.272,NA,NA,NA,NA,NA,NA,NA,hatchery,1,NA,NA,16,Lehm,16in_river
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,46.053412,,NA,5.9385444,NA,NA,13.66667,Oncorhyncus tshawytscha,,,see fishtag for river or lab treatment,NA,NA,NA,NA,NA,NA,7.755,NA,NA,NA,NA,NA,NA,NA,hatchery,1,NA,NA,17,Lehm,17in_lab
