year,parameter,parameter methods,author,journal,n,swimspeed_cm_persecond,sd_swimspeed_cm_persecond,se_swimspeed_cm_persecond,swimspeed_BL,sd_swimspeed_BL,se_swimspeed_BL,temperature_C,species,common,race,life stage,mass_g,sd_mass_g,se_mass_g,SL_cm,sd_SL,se_SL,TL_cm,sd_TL,se_TL,ration,FL_cm,sd_FL_cm,se_FL_cm,FL_mm,hatchery_or_wild,data_quality,source
1996,Ucrit,see readme,Hawkins and Quinn,Can. J. Fish. Aquat. Sci.,16,86.09518349,12.39770642,3.099426606,7.5,1.08,0.27,19,Oncorhynchus mykiss,steelhead,,juvenile,12.7,NA,0.69,NA,NA,NA,11.4793578,1.135321101,0.203909689,full,10.01,0.99,0.177809249,100.1,hatchery,1,Hawkins and Quinn 1996
1996,Ucrit,see readme,Hawkins and Quinn,Can. J. Fish. Aquat. Sci.,15,90.68692661,8.002685084,2.066284404,7.9,0.697137002,0.18,19,Oncorhynchus mykiss,steelhead,,juvenile,12.7,NA,0.69,NA,NA,NA,11.4793578,1.135321101,0.203909689,full,10.01,0.99,0.177809249,100.1,hatchery,1,Hawkins and Quinn 1996
1999,Ucrit,NA,Cech and Myrick,UC Berkeley Technical Report,15,61,NA,0.02,5.495495495,NA,0.001801802,19,Oncorhynchus tshawytscha,Chinook,Nimbus strain,juvenile,15.7,NA,1.6,NA,NA,NA,11.1,NA,0.41,100,NA,NA,NA,NA,hatchery,1,Cech and Myrick 1999
1999,Ucrit,NA,Cech and Myrick,UC Berkeley Technical Report,11,51,NA,0.02,6.8,NA,0.002666667,19,Oncorhynchus tshawytscha,Chinook,Nimbus strain,juvenile,3.8,NA,0.52,NA,NA,NA,7.5,NA,0.32,25,NA,NA,NA,NA,hatchery,1,Cech and Myrick 1999
1999,Ucrit,NA,Cech and Myrick,UC Berkeley Technical Completion Reports,10,51,NA,4,3.88,NA,0.3,11,Oncorhynchus mykiss,steelhead,nimbus strain hatchery,juvenile,17.9,NA,5.15,10,NA,0.777,11.9,NA,0.855,reduced,NA,NA,NA,NA,hatchery,1,Cech and Myrick 1999
1999,Ucrit,NA,Cech and Myrick,UC Berkeley Technical Completion Reports,10,51,NA,2,4.34,NA,0.25,11,Oncorhynchus mykiss,steelhead,nimbus strain hatchery,juvenile,29.3,NA,5.13,11.8,NA,0.846,13.6,NA,0.948,full,NA,NA,NA,NA,hatchery,1,Cech and Myrick 1999
1999,Ucrit,NA,Cech and Myrick,UC Berkeley Technical Completion Reports,7,50,NA,5,4.77,NA,0.25,15,Oncorhynchus mykiss,steelhead,nimbus strain hatchery,juvenile,9.6,NA,1.6,8.4,NA,0.552,10.1,NA,0.629,reduced,NA,NA,NA,NA,hatchery,1,Cech and Myrick 1999
1999,Ucrit,NA,Cech and Myrick,UC Berkeley Technical Completion Reports,10,67,NA,2,4.96,NA,0.38,15,Oncorhynchus mykiss,steelhead,nimbus strain hatchery,juvenile,31.7,NA,3.95,12.4,NA,0.609,14.4,NA,0.676,full,NA,NA,NA,NA,hatchery,1,Cech and Myrick 1999
1999,Ucrit,NA,Cech and Myrick,UC Berkeley Technical Completion Reports,10,57,NA,4,4.11,NA,0.28,19,Oncorhynchus mykiss,steelhead,nimbus strain hatchery,juvenile,16.4,NA,2.14,10.1,NA,0.483,12,NA,0.575,reduced,NA,NA,NA,NA,hatchery,1,Cech and Myrick 1999
1999,Ucrit,NA,Cech and Myrick,UC Berkeley Technical Completion Reports,9,67,NA,4,4.79,NA,0.31,19,Oncorhynchus mykiss,steelhead,nimbus strain hatchery,juvenile,48.7,NA,5.06,14.1,NA,0.486,16.4,NA,0.552,full,NA,NA,NA,NA,hatchery,1,Cech and Myrick 1999
2000,Ucrit,see readme,Myrick and Cech,Fish Physiol. Biochem.,14,46,3.816490535,1,5.2,0.374165739,0.1,10,Oncorhynchus mykiss,steelhead,rainbow trout,juvenile,11.3,4.602238586,1.23,NA,NA,NA,10.2,1.459246381,0.39,NA,NA,NA,NA,NA,hatchery,1,Myrick and Cech 2000
