BASS,SASQ,Shade,EmergVegDensity,EmergWMDensity,Depth5,Depth10,Depth15,Substrate5,Substrate10,Substrate15,Vel5,Vel10,Vel15
0,0,A,A,S,2,3.4,4.8,M,M,M,0.63,0.9,1.05
0,0,A,A,M,2.6,5.4,7.7,M,M,M,0.02,0.09,0.73
0,0,A,A,M,2.9,5.7,7.6,M,M,M,0.37,0.52,0.74
0,0,A,A,S,2.2,5.2,7.8,M,M,M,0.27,0.32,0.46
0,0,A,A,A,1.3,3.6,5.6,M,M,M,0.07,0.11,0.34
0,0,A,A,A,1.6,2.8,5.7,M,M,M,0.18,0.03,0.26
0,0,A,A,S,1.6,3.8,6.2,M,M,M,0.19,0.43,0.81
0,0,A,A,S,1.5,3,5.1,M,M,M,0.32,0.49,0.68
0,0,A,A,M,2.8,5.4,6.6,M,M,M,0.13,0.37,0.7
0,0,P,A,S,2.1,4.5,6.8,M,M,M,0.14,0.66,0.81
0,0,A,A,A,1.8,4.8,6.8,M,M,M,0.26,0.47,0.8
0,0,A,A,A,1.2,3.6,6.4,M,M,M,0.07,0.02,0.54
0,0,A,A,S,1.6,5.2,7.8,M,M,M,0.05,0.22,0.75
0,0,A,A,M,1.9,5.7,7,M,M,M,0.18,0.74,0.74
0,0,A,A,S,1.1,3.9,5.9,M,M,M,0.18,0.23,0.52
0,0,A,A,A,1,3.5,5.3,M,M,M,0.08,0.13,0.51
0,0,A,A,S,1.8,3.4,3.5,M,M,M,0.7,0.8,0.89
0,0,A,A,S,1.8,5,7.5,M,M,M,0.01,0.12,0.23
0,0,A,A,A,1.4,4.4,6.2,M,M,M,0.07,0.13,0.08
0,0,A,A,A,1.8,4.2,5.2,G,G,G,0.64,1.34,1.5
0,0,A,A,A,1.7,4.6,6.3,G,G,G,0.23,0.41,1.26
0,1,A,A,A,2,2.8,5.6,G,G,G,0.26,0.8,1.35
0,0,A,A,A,1.2,3.4,4.3,G,G,G,0.2,0.75,0.94
0,1,A,A,A,1,3.8,4.7,G,G,G,0.14,0.68,0.8
0,0,A,A,A,1.2,3,5.5,G,G,G,0.36,0.65,1.19
0,0,A,A,A,1.8,4.7,6,G,G,G,0.4,0.7,1.24
1,0,A,A,A,1,4.1,5.9,G,M/G,M/G,0.16,0.66,0.74
0,0,A,A,A,2.7,4.7,5.9,G,M/G,G,0.06,0.89,1.04
0,0,A,A,A,2.6,4.7,5.6,G,G,G,0.74,1.12,0.78
0,0,A,A,A,2.4,5.3,6.1,G,G,G,0.75,0.95,1.07
0,0,A,A,A,1.6,4.4,6.5,G,G,G,0.26,0.62,1.13
0,0,A,A,A,1.3,3.4,5,G,G,G,0.38,0.73,0.66
0,0,A,A,A,1.7,4.2,5.5,G,G,M/G,0.57,0.63,0.73
0,0,A,A,A,1.5,4.7,6,G,M/G,M/G,0.48,0.7,0.76
0,0,A,A,A,1.7,4.4,5.7,G,G,G,0.42,0.72,0.76
0,0,A,A,A,1.9,3.8,4.9,G,G,G,0.65,0.84,0.67
0,0,A,A,A,2,4,4.6,M/G,M/G,M/G,0.35,0.64,0.69
0,0,A,A,A,1.8,4.1,4.5,G,M,G,0.42,0.89,0.92
