SiteName,Date,Event,SiteType,RepairType,Sample event,Species,FL,TL,Mort
85.6L,3/2/2011,1,Control,Historic,March,Chinook,60,64,No
85.6L,3/2/2011,1,Control,Historic,March,Chinook,60,65,No
85.6L,3/2/2011,1,Control,Historic,March,Chinook,47,50,No
85.6L,3/2/2011,1,Control,Historic,March,Shiner,45,50,No
85.6L,3/2/2011,1,Control,Historic,March,Shiner,45,50,No
85.6R,3/2/2011,1,R,No Bench,March,Bass,201,210,No
85.6R,3/2/2011,1,R,No Bench,March,Bass,165,177,No
85.6R,3/2/2011,1,R,No Bench,March,Bass,110,115,No
85.6R,3/2/2011,1,R,No Bench,March,Green,113,118,No
85.6R,3/2/2011,1,R,No Bench,March,Pikeminnow,120,133,No
85.6R,3/2/2011,1,R,No Bench,March,Pikeminnow,132,147,No
85.6R,3/2/2011,1,R,No Bench,March,Pikeminnow,81,90,No
85.6R,3/2/2011,1,R,No Bench,March,Pikeminnow,82,90,No
85.6R,3/2/2011,1,R,No Bench,March,Pikeminnow,0,107,No
85.6R,3/2/2011,1,R,No Bench,March,Pikeminnow,83,92,No
85.6R,3/2/2011,1,R,No Bench,March,Pikeminnow,50,55,No
85.6R,3/2/2011,1,R,No Bench,March,Pikeminnow,84,92,No
85.6R,3/2/2011,1,R,No Bench,March,Pikeminnow,75,82,No
85.6R,3/2/2011,1,R,No Bench,March,Readear,106,113,No
85.6R,3/2/2011,1,R,No Bench,March,Readear,112,119,No
85.6R,3/2/2011,1,R,No Bench,March,Steelhead,172,187,No
85.6R,3/2/2011,1,R,No Bench,March,Sucker,61,65,No
85.6R,3/2/2011,1,R,No Bench,March,Threadfin,78,87,No
85.6R,3/2/2011,1,R,No Bench,March,Tule,98,105,No
85.6R,3/2/2011,1,R,No Bench,March,Tule,82,90,No
85.6R,3/2/2011,1,R,No Bench,March,Tule,120,128,No
85.6R,3/2/2011,1,R,No Bench,March,Tule,80,86,No
85.6R,3/2/2011,1,R,No Bench,March,Tule,75,81,No
85.6R,3/2/2011,1,R,No Bench,March,Tule,75,81,No
85.6R,3/2/2011,1,R,No Bench,March,Tule,82,87,No
85.6R,3/2/2011,1,R,No Bench,March,Tule,101,110,No
85.6R,3/2/2011,1,R,No Bench,March,Tule,77,82,No
85.6R,3/2/2011,1,R,No Bench,March,Tule,97,103,No
85.6R,3/2/2011,1,R,No Bench,March,Tule,110,117,No
85.6R,3/2/2011,1,R,No Bench,March,Tule,79,84,No
90.8R,3/2/2011,1,N,Natural,March,Carp,82,94,No
90.8R,3/2/2011,1,N,Natural,March,Carp,110,124,No
90.8R,3/2/2011,1,N,Natural,March,Carp,85,92,No
90.8R,3/2/2011,1,N,Natural,March,Chinook,58,62,No
90.8R,3/2/2011,1,N,Natural,March,Chinook,31,33,No
90.8R,3/2/2011,1,N,Natural,March,Chinook,41,43,No
90.8R,3/2/2011,1,N,Natural,March,Chinook,36,38,No
90.8R,3/2/2011,1,N,Natural,March,Chinook,57,61,No
90.8R,3/2/2011,1,N,Natural,March,Chinook,56,59,No
90.8R,3/2/2011,1,N,Natural,March,Chinook,47,50,No
90.8R,3/2/2011,1,N,Natural,March,Chinook,39,41,No
90.8R,3/2/2011,1,N,Natural,March,Chinook,51,54,No
90.8R,3/2/2011,1,N,Natural,March,Chinook,53,56,No
90.8R,3/2/2011,1,N,Natural,March,Chinook,39,41,No
90.8R,3/2/2011,1,N,Natural,March,Chinook,35,37,No
90.8R,3/2/2011,1,N,Natural,March,Pikeminnow,118,132,No
90.8R,3/2/2011,1,N,Natural,March,Pikeminnow,171,186,No
90.8R,3/2/2011,1,N,Natural,March,Pikeminnow,112,122,No
90.8R,3/2/2011,1,N,Natural,March,Pikeminnow,65,71,No
90.8R,3/2/2011,1,N,Natural,March,Sucker,26,28,No
90.8R,3/2/2011,1,N,Natural,March,Unid juvenile,51,56,No
91.9R,3/2/2011,1,N,Natural,March,Chinook,41,44,No
91.9R,3/2/2011,1,N,Natural,March,Chinook,37,39,No
91.9R,3/2/2011,1,N,Natural,March,Chinook,36,38,No
91.9R,3/2/2011,1,N,Natural,March,Chinook,36,38,No
91.9R,3/2/2011,1,N,Natural,March,Chinook,50,54,No
91.9R,3/2/2011,1,N,Natural,March,Chinook,55,59,No
91.9R,3/2/2011,1,N,Natural,March,Chinook,48,50,No
91.9R,3/2/2011,1,N,Natural,March,Chinook,40,42,No
91.9R,3/2/2011,1,N,Natural,March,Chinook,39,41,No
91.9R,3/2/2011,1,N,Natural,March,Chinook,40,42,No
91.9R,3/2/2011,1,N,Natural,March,Chinook,37,39,No
91.9R,3/2/2011,1,N,Natural,March,Chinook,37,39,No
91.9R,3/2/2011,1,N,Natural,March,Pikeminnow,162,179,No
91.9R,3/2/2011,1,N,Natural,March,Pikeminnow,111,123,No
91.9R,3/2/2011,1,N,Natural,March,Shiner,41,45,No
91.9R,3/2/2011,1,N,Natural,March,Steelhead,230,242,No
91.9R,3/2/2011,1,N,Natural,March,Steelhead,205,218,No
91.9R,3/2/2011,1,N,Natural,March,Steelhead,191,202,No
91.9R,3/2/2011,1,N,Natural,March,Unid juvenile,39,33,No
91.9R,3/2/2011,1,N,Natural,March,Warmouth,50,53,No
56.0R,3/3/2011,1,Control,Historic,March,Bass,215,229,No
56.0R,3/3/2011,1,Control,Historic,March,Bass,150,161,No
56.0R,3/3/2011,1,Control,Historic,March,Bass,160,170,No
56.0R,3/3/2011,1,Control,Historic,March,Bass,121,127,No
56.0R,3/3/2011,1,Control,Historic,March,Bass,135,142,No
56.0R,3/3/2011,1,Control,Historic,March,Bass,125,132,No
56.0R,3/3/2011,1,Control,Historic,March,Bass,178,195,No
56.0R,3/3/2011,1,Control,Historic,March,Bass,150,160,No
56.0R,3/3/2011,1,Control,Historic,March,Bass,120,127,No
56.0R,3/3/2011,1,Control,Historic,March,Bass,58,60,No
56.0R,3/3/2011,1,Control,Historic,March,Pikeminnow,174,190,No
56.0R,3/3/2011,1,Control,Historic,March,Pikeminnow,205,225,No
56.0R,3/3/2011,1,Control,Historic,March,Pikeminnow,160,173,No
56.0R,3/3/2011,1,Control,Historic,March,Pikeminnow,170,182,No
56.0R,3/3/2011,1,Control,Historic,March,Pikeminnow,122,135,No
56.0R,3/3/2011,1,Control,Historic,March,Pikeminnow,76,83,No
56.0R,3/3/2011,1,Control,Historic,March,Pikeminnow,75,84,No
56.0R,3/3/2011,1,Control,Historic,March,Tule,85,88,No
57.2R,3/3/2011,1,R,Setback,March,Bass,56,58,No
57.2R,3/3/2011,1,R,Setback,March,Bluegill,110,115,No
57.2R,3/3/2011,1,R,Setback,March,Chinook,675,735,No
57.2R,3/3/2011,1,R,Setback,March,Pikeminnow,114,125,No
57.2R,3/3/2011,1,R,Setback,March,Pikeminnow,150,165,No
57.2R,3/3/2011,1,R,Setback,March,Readear,125,130,No
69.1L,3/3/2011,1,N,Natural,March,Bass,195,210,No
69.1L,3/3/2011,1,N,Natural,March,Bluegill,106,113,No
69.1L,3/3/2011,1,N,Natural,March,Chinook,33,35,No
69.1L,3/3/2011,1,N,Natural,March,Chinook,62,67,No
69.1L,3/3/2011,1,N,Natural,March,Chinook,53,57,No
69.1L,3/3/2011,1,N,Natural,March,Chinook,40,43,No
69.1L,3/3/2011,1,N,Natural,March,Chinook,58,63,No
69.1L,3/3/2011,1,N,Natural,March,Chinook,40,42,No
69.1L,3/3/2011,1,N,Natural,March,Chinook,35,37,No
69.1L,3/3/2011,1,N,Natural,March,Chinook,50,53,No
69.1L,3/3/2011,1,N,Natural,March,Chinook,43,45,No
69.1L,3/3/2011,1,N,Natural,March,Chinook,41,43,No
69.1L,3/3/2011,1,N,Natural,March,Chinook,36,38,No
69.1L,3/3/2011,1,N,Natural,March,Chinook,50,53,No
69.1L,3/3/2011,1,N,Natural,March,Chinook,46,48,No
69.1L,3/3/2011,1,N,Natural,March,Pikeminnow,112,130,No
69.1L,3/3/2011,1,N,Natural,March,Pikeminnow,120,130,No
69.1L,3/3/2011,1,N,Natural,March,Pikeminnow,167,180,No
69.1L,3/3/2011,1,N,Natural,March,Shiner,57,60,No
69.1L,3/3/2011,1,N,Natural,March,Shiner,57,60,No
69.1L,3/3/2011,1,N,Natural,March,Shiner,49,53,No
69.1L,3/3/2011,1,N,Natural,March,Tule,125,130,No
69.1L,3/3/2011,1,N,Natural,March,Tule,89,93,No
69.9R,3/3/2011,1,R,No Bench,March,Bass,135,143,No
69.9R,3/3/2011,1,R,No Bench,March,Bass,128,136,No
69.9R,3/3/2011,1,R,No Bench,March,Bass,140,147,No
69.9R,3/3/2011,1,R,No Bench,March,Bass,150,158,No
69.9R,3/3/2011,1,R,No Bench,March,Bass,150,157,No
69.9R,3/3/2011,1,R,No Bench,March,Bass,126,134,No
69.9R,3/3/2011,1,R,No Bench,March,Bass,147,155,No
69.9R,3/3/2011,1,R,No Bench,March,Bass,65,67,No
69.9R,3/3/2011,1,R,No Bench,March,Bass,81,84,No
69.9R,3/3/2011,1,R,No Bench,March,Bass,60,62,No
69.9R,3/3/2011,1,R,No Bench,March,Bass,47,49,No
69.9R,3/3/2011,1,R,No Bench,March,Bass,71,73,No
69.9R,3/3/2011,1,R,No Bench,March,Bass,35,37,No
69.9R,3/3/2011,1,R,No Bench,March,Bass,63,65,No
69.9R,3/3/2011,1,R,No Bench,March,Carp,105,120,No
69.9R,3/3/2011,1,R,No Bench,March,Carp,420,465,No
69.9R,3/3/2011,1,R,No Bench,March,Chinook,62,67,No
69.9R,3/3/2011,1,R,No Bench,March,Chinook,66,71,No
69.9R,3/3/2011,1,R,No Bench,March,Chinook,62,67,No
69.9R,3/3/2011,1,R,No Bench,March,Chinook,46,49,No
69.9R,3/3/2011,1,R,No Bench,March,Pikeminnow,145,157,No
69.9R,3/3/2011,1,R,No Bench,March,Pikeminnow,140,153,No
69.9R,3/3/2011,1,R,No Bench,March,Pikeminnow,98,106,No
69.9R,3/3/2011,1,R,No Bench,March,Pikeminnow,92,101,No
69.9R,3/3/2011,1,R,No Bench,March,Pikeminnow,95,102,No
69.9R,3/3/2011,1,R,No Bench,March,Readear,51,54,No
69.9R,3/3/2011,1,R,No Bench,March,Roach,43,46,No
69.9R,3/3/2011,1,R,No Bench,March,Roach,65,69,No
69.9R,3/3/2011,1,R,No Bench,March,Shiner,52,55,No
69.9R,3/3/2011,1,R,No Bench,March,Shiner,57,61,No
69.9R,3/3/2011,1,R,No Bench,March,Shiner,57,60,No
69.9R,3/3/2011,1,R,No Bench,March,Steelhead,111,122,No
69.9R,3/3/2011,1,R,No Bench,March,Threadfin,77,88,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Bass,45,47,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Bass,148,157,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Bass,60,62,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Bass,52,54,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Bluegill,55,57,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Bluegill,115,125,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Chinook,82,90,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Chinook,62,67,Yes
72.2R,3/3/2011,1,R,Undulating Bench,March,Chinook,82,89,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Chinook,53,56,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Chinook,52,56,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Chinook,46,49,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Chinook,33,35,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Chinook,40,43,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Chinook,39,41,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Pikeminnow,105,114,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Pikeminnow,71,77,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Pikeminnow,75,80,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Pikeminnow,65,71,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Pikeminnow,176,192,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Pikeminnow,92,100,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Pikeminnow,73,80,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Pikeminnow,86,93,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Steelhead,197,210,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Sucker,60,63,No
72.2R,3/3/2011,1,R,Undulating Bench,March,Sucker,52,55,No
