SiteName,Type,Category,Event,Region,Date,Species,FL,TL,SI,Race,Mort,Ad_Clip,Current,Depth
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,BAS,115,120,NA,NA,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,BAS,233,250,NA,NA,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,50,55,parr,Fall,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,57,61,parr,Fall,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,57,61,parr,Fall,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,60,65,parr,Fall,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,60,65,parr,Fall,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,60,65,parr,Fall,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,61,68,parr,Fall,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,61,66,parr,Fall,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,63,69,smolt,Fall,TRUE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,63,68,smolt,Fall,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,64,70,smolt,Fall,TRUE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,65,71,smolt,Fall,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,65,70,smolt,Fall,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,65,70,smolt,Fall,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,65,71,smolt,Fall,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,65,69,smolt,Fall,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,66,71,smolt,Fall,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,67,73,smolt,Fall,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,68,73,smolt,Spring,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,69,75,smolt,Spring,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,70,77,smolt,Spring,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,70,77,smolt,Spring,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,70,75,smolt,Spring,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,70,76,smolt,Spring,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,70,76,smolt,Spring,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,71,77,smolt,Spring,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,71,77,smolt,Spring,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,71,78,smolt,Spring,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,75,81,smolt,Spring,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,75,81,smolt,Spring,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,76,82,smolt,Spring,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,76,83,smolt,Spring,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,CHN,78,84,smolt,Spring,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,MSS,37,39,NA,NA,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,MSS,47,50,NA,NA,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,MSS,54,56,NA,NA,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,MSS,55,59,NA,NA,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,MSS,55,60,NA,NA,FALSE,FALSE,,
24.0L,Natural,Natural,1,Ko-Ket,3/20/2012,MSS,57,61,NA,NA,FALSE,FALSE,,
