SiteName,Type,Date,Event,Species,FL_mm,TL_mm,SL_mm,SI,Race,Mort,Comments
91.9R,Naturalized,1/25/13,1,CHN,40,42,NA,2,F,f,
91.9R,Naturalized,1/25/13,1,CHN,38,40,NA,2,F,f,
91.9R,Naturalized,1/25/13,1,CHN,40,42,NA,2,F,f,
91.9R,Naturalized,1/25/13,1,CHN,40,42,NA,2,F,f,
91.9R,Naturalized,1/25/13,1,CHN,46,48,NA,2,F,f,
91.9R,Naturalized,1/25/13,1,CHN,38,40,NA,2,F,f,
91.9R,Naturalized,1/25/13,1,CHN,47,50,NA,3,F,f,
91.9R,Naturalized,1/25/13,1,CHN,48,52,NA,3,S,f,
91.9R,Naturalized,1/25/13,1,BAS,305,310,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,BAS,255,260,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,58,23,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,56,60,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,65,70,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,42,46,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,45,49,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,55,60,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,55,60,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,55,60,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,53,58,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,63,58,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,57,61,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,56,60,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,60,65,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,72,77,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,64,68,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,65,71,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,65,70,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,62,67,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,57,60,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,65,70,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,55,59,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,55,58,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,60,65,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,60,70,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,57,62,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,52,57,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,65,70,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,65,71,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,55,59,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,65,70,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,45,48,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,55,59,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,64,68,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,48,51,NA,NA,NA,f,
91.9R,Naturalized,1/25/13,1,MSS,55,60,NA,NA,NA,f,
