SiteName,Type,Category,Date,Event,Species,FL_mm,TL_mm,SI,Race,Mort,Effort,Turb,Comments
91.9R,Naturalized,Naturalized,1/14/2014,1,MSS,63,68,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,MSS,70,75,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,MSS,70,75,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,MSS,70,77,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,MSS,72,78,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,MSS,75,82,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,MSS,75,82,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,MSS,77,84,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,MSS,89,95,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,MSS,92,100,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,MSS,92,100,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,RSN,18,19,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,RSN,20,21,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,RSN,22,23,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,RSN,26,27,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,RSN,28,29,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,RSN,28,29,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,RSN,29,30,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,RSN,32,33,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,RSN,32,33,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,RSN,32,33,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,RSN,32,33,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,RSN,33,34,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,RSN,36,37,NA,NA,N,152,3.44,NA
91.9R,Naturalized,Naturalized,1/14/2014,1,RSN,38,40,NA,NA,N,152,3.44,NA
