SiteName,Type,Category,Date,Event,Species,FL_mm,TL_mm,SI,Race,Mort,Turb,Comments
DSVeronaRL,Various,NA,3/23/15,1,SASQ,65,72,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SASQ,90,97,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SASQ,85,95,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SASQ,85,90,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,MSS,79,85,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,MSS,75,82,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,MSS,85,91,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,MSS,79,84,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,CHN,85,92,5,S,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,CHN,81,87,5,S,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,CHN,87,94,5,S,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SMB,97,103,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SMB,112,120,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SMB,125,132,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SMB,100,106,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SMB,95,101,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SMB,92,96,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SMB,119,125,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SMB,135,144,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SMB,110,117,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SMB,85,89,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SMB,95,100,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SMB,105,112,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SMB,98,105,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SMB,100,106,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SMB,120,128,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SMB,95,101,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SMB,100,106,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SMB,256,266,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,RES,141,150,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,TFS,120,136,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,W,113,115,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,W,95,98,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,GSF,125,131,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,GSF,64,66,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,GSF,51,53,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,GSF,95,99,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,GSF,63,66,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,GSF,93,96,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,GSF,113,116,NA,NA,N,14.38,NA
