code,species
AMS,American Shad
BAS,Bass
BKS,Black Crappie
BGS,Bluegill
BKB,Black Bullhead
LP,Bigscale Logperch
BRB,Brown Bullhead
CHC,Channel Catfish
CENT,Centrarchid spp.
CAT,Catfish spp.
C,Common Carp
CHN,Chinook Salmon
MIN,Cyprinid spp.
DSM,Delta Smelt
FHM,Fathead Minnow
MQK,Mosquitofish
GF,Goldfish
GSF,Green Sunfish
GSN,Golden Shiner
HCH,Hitch
HH,Hardhead
LAM,Lamprey Family
LMB,Largemouth Bass
PL,Pacific Lamprey
MSS,Mississippi/inland silverside
PKS,Pumpkinseed
RSN,Red Shiner
PRS,Prickly Sculpin
REB,Red-eye Bass
RL,River Lamprey
RFS,Riffle Sculpin
RES,Redear Sunfish
RBT,Rainbow Trout/Steelhead
STB,Striped Bass
SCB,Sacramento Blackfish
SCP,Sculpin spp.
SHM,Shimofuri Goby
SASU,Sacramento Sucker
SMB,Smallmouth Bass
SASQ,Sacramento Pikeminnow
SPB,Spotted Bass
SPLT,Sacramento Splittail
TFS,Threadfin Shad
TP,Tule Perch
TSS,Threespine Stickleback
WAG,Wakasagi
WHS,White Crappie
WHC,White Catfish
W,Warmouth
YEB,Yellow Bullhead
YFG,Yellowfin Goby
CAR,California Roach
GST,Green Sturgeon
KOS,Kokanee Salmon
SNF,Sunfish Unknown
SP,Sacramento Perch
UNID,Unknown (Unid Juvenile Fish)
WST,White Sturgeon
