"species","length_cm"
"bass",21
"bass",22.9
"pikeminnow",22.5
"bass",21
"bass",24.5
"bass",22.1
"bass",22.5
"pikeminnow",62.4
"pikeminnow",25.4
"bass",30.1
"pikeminnow",25
"bass",31.5
"bass",32.3
"bass",31.9
"bass",21.3
"bass",24.6
"bass",31.6
"bass",34
"pikeminnow",22.4
"pikeminnow",20.4
"bass",38.1
"bass",34.8
"bass",31.3
"bass",31
"bass",33.3
"bass",33.3
"bass",35
"bass",34
"bass",28.6
"pikeminnow",57.5
"pikeminnow",34.2
"bass",32
"bass",36.9
"bass",32
"bass",33
"bass",25
"bass",22.7
"bass",21.8
"bass",28.2
"bass",20.7
"bass",21
"bass",39
"bass",28
"bass",32.5
"bass",24.9
"bass",31.9
"bass",20.3
"bass",20.5
"bass",22
"bass",43.3
"bass",20.5
"bass",21.6
"bass",25.3
"bass",27.4
"bass",22
"bass",38.2
"bass",42.1
"bass",20.4
"bass",27
"bass",30.7
"bass",31.8
"bass",35.3
"bass",40.5
"bass",41.3
"bass",28.3
"bass",32.9
"bass",33.5
"pikeminnow",53.2
"bass",36.3
"bass",32.9
"pikeminnow",22.3
"bass",28.8
"bass",33.6
"bass",21
"pikeminnow",25.5
"bass",23.2
"bass",37.7
"bass",22
"bass",25.7
"bass",26.2
"pikeminnow",27.6
"pikeminnow",20.8
"pikeminnow",21.6
"pikeminnow",30.5
"pikeminnow",37.3
"bass",35
"bass",26.4
"bass",21.2
"pikeminnow",20.2
"bass",21.1
"bass",22.3
"bass",20.5
"bass",21
"bass",23.5
"pikeminnow",26.5
"pikeminnow",37.2
"bass",20.8
"bass",21.8
"bass",21.8
"bass",25.8
"pikeminnow",34
"pikeminnow",27.8
"pikeminnow",47.7
"pikeminnow",49
"bass",40.3
"bass",31
"pikeminnow",20.5
"bass",30.7
"bass",28.3
"bass",39.5
"pikeminnow",33.5
"pikeminnow",20.7
"pikeminnow",27.8
"pikeminnow",30.1
"pikeminnow",38.1
"pikeminnow",49.1
"pikeminnow",20.9
"bass",31
"bass",26
"pikeminnow",20.9
"pikeminnow",20.5
"bass",26.5
"pikeminnow",21
"pikeminnow",20.2
"pikeminnow",23.5
"bass",25
"bass",31.3
"bass",28.5
"bass",24.2
"pikeminnow",21
"pikeminnow",23.2
"pikeminnow",23.9
"pikeminnow",20.5
"pikeminnow",27
"pikeminnow",32.5
"bass",37
"bass",26.3
"bass",37.8
"bass",35
"bass",32.5
"bass",23.2
"bass",22.8
"bass",37.4
"bass",28.1
"bass",34
"bass",38.6
"pikeminnow",24
"bass",21.4
"bass",34.7
"bass",28.3
"pikeminnow",52
"bass",29.5
"pikeminnow",28
"bass",31.5
"bass",36.2
"bass",32
"pikeminnow",65.5
"bass",30.4
"pikeminnow",34.6
"bass",25.1
"bass",20.7
"bass",21.5
"bass",27.7
"bass",32.4
"bass",37.1
"bass",30
"bass",31.1
"pikeminnow",20.2
"bass",21
"bass",21.5
"bass",28
"bass",33.8
"bass",26.9
"bass",27.5
"bass",25.9
"bass",30.3
"pikeminnow",35.2
"bass",20.9
"bass",22.5
"bass",34
"pikeminnow",22.2
"bass",35.8
"pikeminnow",28.7
"pikeminnow",22.2
"bass",30.6
"bass",28.2
"bass",32
"bass",30.5
"bass",30.2
"bass",39.2
"bass",24.8
"bass",27.3
"bass",30.3
"bass",23.3
"bass",29
"bass",31
"bass",31
"bass",26.6
"bass",34.4
"bass",43.2
"bass",20.9
"bass",32
"bass",21.5
"bass",28
"bass",20.5
"pikeminnow",34
"bass",32.6
"bass",25.6
"bass",22.8
"bass",22.3
"bass",23.3
"bass",25
