"species","length_cm"
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",15
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
"bass",18
