author,year,journal,species,temperature_C,experiment,y_value,y_unit,notes
Myrick,2000,Enviro Bio Fish,Sac Pikeminnow,10.0098360655737,Ucrit,0.389802631578947,m/s,
Myrick,2000,Enviro Bio Fish,Sac Pikeminnow,14.9868852459016,Ucrit,0.568421052631578,m/s,
Myrick,2000,Enviro Bio Fish,Sac Pikeminnow,19.9819672131147,Ucrit,0.499342105263157,m/s,
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,5.91501955496906,Dig Eff,0.020798789408761,NA,
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,5.9133939585186,Dig Eff,0.026358329269342,NA,
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,5.93921225508476,Dig Eff,0.050559755013053,NA,
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,9.86005527027931,Dig Eff,0.028776643047707,NA,
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,9.94468190902397,Dig Eff,0.076853538540979,NA,
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,9.83624506344607,Dig Eff,0.110207550417395,NA,
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,15.0077454889698,Dig Eff,0.198676095126079,NA,
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,14.9385142048442,Dig Eff,0.210447086835537,NA,
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,14.901029863163,Dig Eff,0.226143535385409,NA,
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,19.9162817828011,Dig Eff,0.286481970222897,NA,
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,19.9082494238694,Dig Eff,0.313952637769299,NA,
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,23.4394274075561,Dig Eff,0.387323933560916,NA,
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,23.540405634126,Dig Eff,0.379478398691872,NA,
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,19.8533616378362,Dig Eff,0.38916886600304,NA,
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,23.8799640456314,Dig Eff,0.455688631343412,NA,
Beamish,1970,Can J Zoo,Largemouth B.,10.1548053045913,Met,194.426732540609,mg/kg/h,
Beamish,1970,Can J Zoo,Largemouth B.,14.8858773181169,Met,244.679034193924,mg/kg/h,
Beamish,1970,Can J Zoo,Largemouth B.,20.2476620700586,Met,318.360970523191,mg/kg/h,
