year ,author,jounral,species,fLength_cm,prey,turbidity_NTU,reactionDistance_cm
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,7.053892216,35.70179641
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,7.245508982,31.70818363
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,7.041916168,27.43473054
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,6.05988024,37.00199601
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,6,44.2
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,5.041916168,58.56806387
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,4.886227545,55.09620758
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,5.077844311,53.50259481
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,4.083832335,75.86946108
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,4.143712575,70.00479042
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,4.095808383,65.73652695
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,3.425149701,85.44750499
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,3.425149701,78.51417166
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,3.02994012,79.83433134
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,3.065868263,89.43552894
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,2.646706587,103.0215569
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,2.694610778,96.88982036
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,2.215568862,113.4071856
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,2.095808383,108.3365269
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,1.94011976,97.66467066
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,1.904191617,128.5968064
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,1.54491018,125.651497
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,1.556886228,112.8518962
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,1.329341317,123.2443114
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,1.25748503,142.9752495
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,0.934131737,127.7644711
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,0.658682635,121.3552894
2013,Hansen,Trans amer fish Soc,Chinook,24,Fish,0.431137725,116.8143713
