year,author,jounral,species,river ,run,expSetup,NA,length_cm,temperature_C,turb_NTU,time_days,measure,units,ImageJ,note
2013,Cavallo,Enviro Bio Fish,Chinook,Sac,Fall,Field,32,10.2,17.41787432,5.763803681,3.2,0.889489918,survival,Y,none
2013,Cavallo,Enviro Bio Fish,Chinook,Sac,Fall,Field,32,10.2,16.96377052,7.368194018,3.2,0.841164659,survival,Y,none
2013,Cavallo,Enviro Bio Fish,Chinook,Sac,Fall,Field,32,10.2,16.72664566,7.805694018,3.2,0.704216867,survival,Y,none
2013,Cavallo,Enviro Bio Fish,Chinook,Sac,Fall,Field,32,10.2,16.45501161,7.221913344,3.2,0.728176624,survival,Y,none
2013,Cavallo,Enviro Bio Fish,Chinook,Sac,Fall,Field,32,10.2,15.82459377,25.12384969,3.2,0.84210036,survival,Y,none
2013,Cavallo,Enviro Bio Fish,Chinook,Sac,Fall,Field,32,10.2,16.06973968,10.87020706,3.2,0.719477912,survival,Y,none
2013,Cavallo,Enviro Bio Fish,Chinook,Sac,Fall,Field,32,10.2,16.1671489,34.82199003,0.17,0.998190701,survival,Y,none
2013,Cavallo,Enviro Bio Fish,Chinook,Sac,Fall,Field,32,10.2,16.53395374,97.67638037,0.17,0.556293214,survival,Y,outlier
2010,Michel,MS Santa Cruz,Chinook,Sac,Late-Fall,Field,804,16.2,NA,NA,NA,0.995331336,daily survival,N,none
2010,Michel,MS Santa Cruz,Chinook,Sac,Late-Fall,Field,804,16.2,NA,NA,NA,0.993906834,daily survival,N,none
2010,Michel,MS Santa Cruz,Chinook,Sac,Late-Fall,Field,804,16.2,NA,NA,NA,0.978669802,daily survival,N,none
2010,Michel,MS Santa Cruz,Chinook,Sac,Late-Fall,Field,804,16.2,NA,NA,NA,0.979779797,daily survival,N,none
2010,Michel,MS Santa Cruz,Chinook,Sac,Late-Fall,Field,804,16.2,NA,NA,NA,0.991144283,daily survival,N,none
2010,Michel,MS Santa Cruz,Chinook,Sac,Late-Fall,Field,804,16.2,NA,NA,NA,0.983654802,daily survival,N,none
2010,Michel,MS Santa Cruz,Chinook,Sac,Late-Fall,Field,804,16.2,NA,NA,NA,0.978694923,daily survival,N,none
2010,Michel,MS Santa Cruz,Chinook,Sac,Late-Fall,Field,804,16.2,NA,NA,NA,0.983539752,daily survival,N,none
2015,Michel,C. J. Fish Aq,Chinook,Sac,Late-Fall,Field,200,16.5,8.109777134,4.990860215,14.85106383,0.155,survival,N,This T and U are form gauge data at time of exp
