year,author,citation_number,redd_number,fraction ,day
1989,Bardonnet,1,1,0.029892257,1
1989,Bardonnet,1,1,0.231715319,2
1989,Bardonnet,1,1,0.315650747,3
1989,Bardonnet,1,1,0.172113485,4
1989,Bardonnet,1,1,0.18361108,5
1989,Bardonnet,1,1,0.067017112,6
1989,Bardonnet,1,2,0.068624466,1
1989,Bardonnet,1,2,0.38385347,2
1989,Bardonnet,1,2,0.250528303,3
1989,Bardonnet,1,2,0.09851931,4
1989,Bardonnet,1,2,0.175236318,5
1989,Bardonnet,1,2,0.023238134,6
1989,Bardonnet,1,3,0.025841363,1
1989,Bardonnet,1,3,0.239214031,2
1989,Bardonnet,1,3,0.370732054,3
1989,Bardonnet,1,3,0.127585812,4
1989,Bardonnet,1,3,0.172350688,5
1989,Bardonnet,1,3,0.064276051,6
