target_temp_type,author,year,journal,endpoint,target_temp_degrees_C,se_target_temp_degrees_c,daily_survival_percent,daily_survival_prob,accumulated_degree_hours_above_acc_temp,swimspeed_bodylengths_per_second,n,mass_g,se_mass_g,standard_length_cm,se_standard_length_cm,acclimation_temp_C,temp_increase_rate_degreesC_per_hour,species,run,life_stage,wild_or_hatchery,ration_percent_of_satiation,salinity (g/liter),river_of_origin,data_quality,fork_length_cm,se_fork_length_cm,hours spent increasing temp,total_duration_hours,degree_hours_per_hour,median_resistance_time_minutes,total_duration_days,hours_spent_at_max_temp,ration_percent_body_weight,whole_duration_survival_prob,days_spent_at_max_temperature,inverse_of_days_at_max_temperature,rounded_temp,fork_length_mm,year_caught,minutes_spent_at_max_temp,subspecies,population_location,endogenous_or_exogenous,total_length_cm
survival at 50% hatch,referenced by Velsen et al. 1987,1978,Canadian Data Report of Fisheries and Aquatic Sciences No. 626,death,8.5,NA,99.97543007,0.999754301,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oncorhyncus mykiss,NA,egg,NA,NA,NA,NA,1,NA,NA,NA,981.6,NA,58896,40.9,981.6,NA,0.99,40.9,0.024449878,9,NA,1978,58896,steelhead,various,endogenous,NA
survival at 50% hatch,referenced by Velsen et al. 1987,1986,Canadian Data Report of Fisheries and Aquatic Sciences No. 626,death,9,NA,99.93426108,0.999342611,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oncorhyncus mykiss,NA,egg,NA,NA,NA,NA,1,NA,NA,NA,924,NA,55440,38.5,924,NA,0.975,38.5,0.025974026,9,NA,1986,55440,steelhead,various,endogenous,NA
survival at 50% hatch,referenced by Velsen et al. 1987,1969,Canadian Data Report of Fisheries and Aquatic Sciences No. 626,death,9.2,NA,99.23043435,0.992304344,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oncorhyncus mykiss,NA,egg,NA,NA,NA,NA,1,NA,NA,NA,816,NA,48960,34,816,NA,0.769,34,0.029411765,9,NA,1969,48960,rainbow trout,various,endogenous,NA
survival at 50% hatch,referenced by Velsen et al. 1987,1964,Canadian Data Report of Fisheries and Aquatic Sciences No. 626,death,9.7,NA,99.32608846,0.993260885,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oncorhyncus mykiss,NA,egg,NA,NA,NA,NA,1,NA,NA,NA,792,NA,47520,33,792,NA,0.8,33,0.03030303,10,NA,1964,47520,steelhead,various,endogenous,NA
survival to eyeing,Weber,2016,J. Appl. Aquac,death,10,NA,77.77450104,0.77774501,600,NA,3200,NA,NA,NA,NA,4,NA,Oncorhyncus mykiss,rainbow trout,egg,hatchery,NA,NA,NA,1,NA,NA,NA,100,6,6000,4.166666667,100,NA,0.350877193,4.166666667,0.24,10,NA,NA,6000,rainbow trout,WA,endogenous,NA
survival to eyeing,Weber,2016,J. Appl. Aquac,death,10,NA,96.22716692,0.962271669,600,NA,6000,NA,NA,NA,NA,4,NA,Oncorhyncus mykiss,rainbow trout,egg,hatchery,NA,NA,NA,1,NA,NA,NA,100,6,6000,4.166666667,100,NA,0.851936219,4.166666667,0.24,10,NA,NA,6000,rainbow trout,WA,endogenous,NA
survival to eyeing,Weber,2016,J. Appl. Aquac,death,10,NA,93.97015849,0.939701585,600,NA,1300,NA,NA,NA,NA,4,NA,Oncorhyncus mykiss,rainbow trout,egg,hatchery,NA,NA,NA,1,NA,NA,NA,100,6,6000,4.166666667,100,NA,0.771717172,4.166666667,0.24,10,NA,NA,6000,rainbow trout,WA,endogenous,NA
survival to eyeing,Weber,2016,J. Appl. Aquac,death,10,NA,93.37865647,0.933786565,600,NA,7700,NA,NA,NA,NA,4,NA,Oncorhyncus mykiss,rainbow trout,egg,hatchery,NA,NA,NA,1,NA,NA,NA,100,6,6000,4.166666667,100,NA,0.751677852,4.166666667,0.24,10,NA,NA,6000,rainbow trout,WA,endogenous,NA
survival at 50% hatch,referenced by Velsen et al. 1987,1964,Canadian Data Report of Fisheries and Aquatic Sciences No. 626,death,10,NA,99.2017151,0.992017151,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oncorhyncus mykiss,NA,egg,NA,NA,NA,NA,1,NA,NA,NA,744,NA,44640,31,744,NA,0.78,31,0.032258065,10,NA,1964,44640,steelhead,various,endogenous,NA
survival at 50% hatch,referenced by Velsen et al. 1987,1964,Canadian Data Report of Fisheries and Aquatic Sciences No. 626,death,10.5,NA,99.52903772,0.995290377,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oncorhyncus mykiss,NA,egg,NA,NA,NA,NA,1,NA,NA,NA,708,NA,42480,29.5,708,NA,0.87,29.5,0.033898305,11,NA,1964,42480,steelhead,various,endogenous,NA
survival at 50% hatch,referenced by Velsen et al. 1987,1986,Canadian Data Report of Fisheries and Aquatic Sciences No. 626,death,12,NA,99.85166355,0.998516636,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oncorhyncus mykiss,NA,egg,NA,NA,NA,NA,1,NA,NA,NA,576,NA,34560,24,576,NA,0.965,24,0.041666667,12,NA,1986,34560,steelhead,various,endogenous,NA
survival to eyeing,Weber,2016,J. Appl. Aquac,death,14,NA,66.26665137,0.662666514,714.2857143,NA,3200,NA,NA,NA,NA,4,NA,Oncorhyncus mykiss,rainbow trout,egg,hatchery,NA,NA,NA,1,NA,NA,NA,71.42857143,10,4285.714286,2.976190476,71.42857143,NA,0.293859649,2.976190476,0.336,14,NA,NA,4285.714286,rainbow trout,WA,endogenous,NA
survival to eyeing,Weber,2016,J. Appl. Aquac,death,14,NA,89.73201774,0.897320177,714.2857143,NA,6000,NA,NA,NA,NA,4,NA,Oncorhyncus mykiss,rainbow trout,egg,hatchery,NA,NA,NA,1,NA,NA,NA,71.42857143,10,4285.714286,2.976190476,71.42857143,NA,0.724373576,2.976190476,0.336,14,NA,NA,4285.714286,rainbow trout,WA,endogenous,NA
survival to eyeing,Weber,2016,J. Appl. Aquac,death,14,NA,88.83483072,0.888348307,714.2857143,NA,1300,NA,NA,NA,NA,4,NA,Oncorhyncus mykiss,rainbow trout,egg,hatchery,NA,NA,NA,1,NA,NA,NA,71.42857143,10,4285.714286,2.976190476,71.42857143,NA,0.703030303,2.976190476,0.336,14,NA,NA,4285.714286,rainbow trout,WA,endogenous,NA
survival at 50% hatch,referenced by Velsen et al. 1987,1978,Canadian Data Report of Fisheries and Aquatic Sciences No. 626,death,14,NA,99.66669817,0.996666982,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oncorhyncus mykiss,NA,egg,NA,NA,NA,NA,1,NA,NA,NA,576,NA,34560,24,576,NA,0.923,24,0.041666667,14,NA,1978,34560,steelhead,various,endogenous,NA
survival at 50% hatch,referenced by Velsen et al. 1987,1986,Canadian Data Report of Fisheries and Aquatic Sciences No. 626,death,15,NA,99.14828503,0.99148285,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oncorhyncus mykiss,NA,egg,NA,NA,NA,NA,1,NA,NA,NA,456,NA,27360,19,456,NA,0.85,19,0.052631579,15,NA,1986,27360,steelhead,various,endogenous,NA
